factor,environment,factor_value_numeric,n_seeds,per_member_rows,unique_rows,p,nominal_n_over_p,unique_n_over_p,id_rmse,far_nll,far_auroc,far_spearman,gram_condition
bootfull,Ant-v5,0.0,27,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,0.5842248179294445,1.7671168667298776,0.9804399951851851,0.5211141854745243,213603987.50410524
bootfull,Ant-v5,0.01,27,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,0.6142206721835666,1.9312753920201902,0.9898586535185184,0.49667031451172533,213603987.50410524
bootfull,Ant-v5,0.02,27,200.0,198.0,201.0,0.9950248756218906,0.9850746268656716,0.6413962421593843,1.0458850352852433,0.9972278311111111,0.8447394189260047,213603987.50410524
bootfull,Ant-v5,0.03,27,300.0,296.0,201.0,1.492537313432836,1.4726368159203977,0.6361683364267703,1.1075369274174724,0.9976873162962963,0.8341174565523966,213603987.50410524
bootfull,Ant-v5,0.05,27,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.6224278101214656,1.1184561760337264,0.9979669198148149,0.838915943525398,213603987.50410524
bootfull,Ant-v5,0.1,27,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,0.6097362792050397,1.1230240707044248,0.9984416422222223,0.8429349085559777,213603987.50410524
bootfull,Ant-v5,0.2,27,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.6014724771181742,1.1409223322515134,0.9985851588888889,0.8625424579654415,213603987.50410524
bootfull,Ant-v5,0.3,27,3000.0,2592.0,201.0,14.92537313432836,12.8955223880597,0.5975383718808492,1.1252953586754975,0.998152517037037,0.8533109853185907,213603987.50410524
bootfull,Ant-v5,0.5,27,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.5896071416360361,1.0840641227033403,0.9977300088888889,0.8152535588149852,213603987.50410524
bootfull,Ant-v5,0.99,27,9900.0,6284.0,201.0,49.25373134328359,31.2636815920398,0.5857157067016319,1.190362228287591,0.993109087037037,0.7148530370339288,213603987.50410524
bootfull,HalfCheetah-v5,0.0,26,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,1.3221141971074617,3.8942637902039747,0.9864112425000001,0.10083996008629795,4327252.090689606
bootfull,HalfCheetah-v5,0.01,26,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,13710.058995173527,11.502943442418026,0.9332107851923077,0.9703206329319911,4327252.090689606
bootfull,HalfCheetah-v5,0.02,26,200.0,198.0,201.0,0.9950248756218906,0.9850746268656716,93.91845468374399,7.447982971484844,0.9801717526923077,0.9449595282113882,4327252.090689606
bootfull,HalfCheetah-v5,0.03,26,300.0,296.0,201.0,1.492537313432836,1.472636815920398,2.5253286361694336,3.840787172317505,0.9870177528846155,0.8896111243836516,4327252.090689606
bootfull,HalfCheetah-v5,0.05,26,500.0,488.0,201.0,2.487562189054726,2.427860696517413,1.5053140383500319,2.8071230329000034,0.9875438182692308,0.6890623678683553,4327252.090689606
bootfull,HalfCheetah-v5,0.1,26,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,1.351035943398109,2.1671740183463464,0.9867459688461538,0.3163687707321418,4327252.090689606
bootfull,HalfCheetah-v5,0.2,26,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,1.328420639038086,2.4608889588942895,0.986998670576923,0.15283296396562276,4327252.090689606
bootfull,HalfCheetah-v5,0.3,26,3000.0,2592.0,201.0,14.92537313432836,12.8955223880597,1.3245195654722361,2.754667506768153,0.9872061334615385,0.1255092920720302,4327252.090689606
bootfull,HalfCheetah-v5,0.5,26,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,1.32294690150481,3.155892340036539,0.986838040576923,0.11132737519007953,4327252.090689606
bootfull,HalfCheetah-v5,0.99,26,9900.0,6284.0,201.0,49.253731343283576,31.2636815920398,1.3220681364719684,3.5748060849996715,0.9866197971153846,0.10881684395674386,4327252.090689606
bootfull,Hopper-v5,0.0,26,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,0.18134716439705625,0.3229033603118016,0.9715210982692308,0.6300887462354592,35729656012.05264
bootfull,Hopper-v5,0.01,26,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,54.0444136766287,6.127759291575505,0.8718345053846155,0.9311228996795277,35729656012.05264
bootfull,Hopper-v5,0.02,26,200.0,198.0,201.0,0.9950248756218906,0.9850746268656716,8.712061845339262,4.928250019366924,0.9446688411538461,0.9133974963606044,35729656012.05264
bootfull,Hopper-v5,0.03,26,300.0,296.0,201.0,1.492537313432836,1.472636815920398,0.2000516865115899,0.8641479221674112,0.9833741101923077,0.7846726036663619,35729656012.05264
bootfull,Hopper-v5,0.05,26,500.0,488.0,201.0,2.487562189054726,2.427860696517413,0.18784616142511365,0.501468918644465,0.9838511905769232,0.6729840980557529,35729656012.05264
bootfull,Hopper-v5,0.1,26,1000.0,952.0,201.0,4.975124378109452,4.736318407960199,0.18347876518964765,0.366995663023912,0.983203881923077,0.6194454062269853,35729656012.05264
bootfull,Hopper-v5,0.2,26,2000.0,1813.0,201.0,9.950248756218905,9.019900497512438,0.18217092236647237,0.3309084687095422,0.9774574465384614,0.6290517449878773,35729656012.05264
bootfull,Hopper-v5,0.3,26,3000.0,2592.0,201.0,14.92537313432836,12.8955223880597,0.18182360896697408,0.30766974676113856,0.9762677813461539,0.6339720216523935,35729656012.05264
bootfull,Hopper-v5,0.5,26,5000.0,3935.0,201.0,24.875621890547265,19.577114427860696,0.1815535105191744,0.3063567157548207,0.9743064396153845,0.6414158941719145,35729656012.05264
bootfull,Hopper-v5,0.99,26,9900.0,6284.0,201.0,49.253731343283576,31.2636815920398,0.18143481360032004,0.316866197838233,0.9734754717307692,0.6251740334650673,35729656012.05264
bootfull,Humanoid-v5,0.0,26,10000.0,10000.0,201.0,49.75124378109453,49.75124378109453,60.083854528573845,4.1055169472327595,0.32179224942307694,0.7663498048348297,133224852.93315369
bootfull,Humanoid-v5,0.01,26,100.0,100.0,201.0,0.4975124378109453,0.4975124378109453,2384549.9982722355,14.01900236423199,0.6788142048076923,0.9886810489967104,133224852.93315369
bootfull,Humanoid-v5,0.02,26,200.0,198.0,201.0,0.9950248756218906,0.9850746268656716,237.81101725651666,6.92866561963008,0.7510482815384615,0.955011772137702,133224852.93315369
bootfull,Humanoid-v5,0.03,26,300.0,296.0,201.0,1.492537313432836,1.472636815920398,60.16321901174692,3.7446553248625536,0.45500460076923077,0.7259194907868873,133224852.93315369
bootfull,Humanoid-v5,0.05,26,500.0,488.0,201.0,2.487562189054726,2.427860696517413,60.102560190054085,3.8844362772428074,0.3787288667307692,0.7504338865941638,133224852.93315369
