environment,factor,factor_value,id_rmse,far_nll,far_auroc,far_spearman
InvertedPendulum-v5,bootstrap,0.15,0.015388964747007076,-0.04576582031754347,0.8914278773076922,0.6306314698184259
InvertedPendulum-v5,bootstrap,0.2,0.015372775441322189,0.21417105083282179,0.8869151213461539,0.6147244882324399
InvertedPendulum-v5,bootstrap,0.3,0.015373143206278864,0.4330881440725464,0.8819193075,0.5973692146773553
InvertedPendulum-v5,bootstrap,0.5,0.015368675401147742,0.7829718392055768,0.876242486153846,0.5764961425958636
InvertedPendulum-v5,bootstrap,0.99,0.015364117347277127,1.0279418126984428,0.8706356894230768,0.5536102658567911
InvertedPendulum-v5,calib,1024,0.015918761796246354,-0.8160713407425926,0.9136165076923076,0.7292819178321134
InvertedPendulum-v5,calib,2048,0.015581043813234339,-0.7525730734834304,0.9135590013461538,0.7222311497070688
InvertedPendulum-v5,calib,4096,0.01565702961614499,-0.626088404096663,0.9082173790384614,0.7105801197578832
InvertedPendulum-v5,calib,512,0.016502033542984955,-0.9263692641487489,0.9205327548076923,0.7651313193319679
InvertedPendulum-v5,calib,8192,0.015838913888169024,-0.2830103263258934,0.8965477499999999,0.6590720584013722
InvertedPendulum-v5,layer,first,0.015782785351173237,3.6550507499621463,0.8559009948076922,0.4360500109420444
InvertedPendulum-v5,layer,multi,0.015547427169692058,-0.7121493957506922,0.9186127555769231,0.72573337910235
InvertedPendulum-v5,rank,1,0.015777356116674267,-0.5621814693395908,0.9141634246153845,0.6984833346405513
InvertedPendulum-v5,rank,10,0.0164096756802442,-0.698586333829623,0.9204483636538462,0.7324960208196176
InvertedPendulum-v5,rank,15,0.015483507026846591,-0.6867200033022807,0.9137491792307691,0.721092406804401
InvertedPendulum-v5,rank,2,0.015691009242660724,-0.6750120969059376,0.9174320759615384,0.7192870450746617
