factor,environment,metric,anchor_value,factor_value,n_paired_seeds,mean_diff,ci95_lo,ci95_hi,materially_worse
scale,HumanoidStandup-v5,far_auroc,8.0,16.0,27,0.03259406425925927,0.023375530184997925,0.04181259833352062,False
scale,HumanoidStandup-v5,far_auroc,8.0,32.0,27,0.039972175185185206,0.028062459375098613,0.051881890995271795,False
scale,HumanoidStandup-v5,far_spearman,8.0,2.0,27,0.002802518444287484,-0.03421093007987452,0.03981596696844949,False
scale,HumanoidStandup-v5,far_spearman,8.0,4.0,27,-0.010601615733005562,-0.03368860699869478,0.012485375532683656,False
scale,HumanoidStandup-v5,far_spearman,8.0,6.0,27,-0.009832372299206575,-0.02911587248837084,0.009451127889957691,False
scale,HumanoidStandup-v5,far_spearman,8.0,12.0,27,0.010128301275924859,-0.008136522757235518,0.028393125309085235,False
scale,HumanoidStandup-v5,far_spearman,8.0,16.0,27,0.017490410100619982,-0.006050181479791469,0.04103100168103144,False
scale,HumanoidStandup-v5,far_spearman,8.0,32.0,27,0.03861790769201474,0.008296241773387648,0.06893957361064182,False
scale,InvertedDoublePendulum-v5,id_rmse,16.0,4.0,26,-0.016249799205420114,-0.026181828349868777,-0.0063177700609714504,False
scale,InvertedDoublePendulum-v5,id_rmse,16.0,8.0,26,-0.01598329852836636,-0.02591172808976542,-0.006054868966967301,False
scale,InvertedDoublePendulum-v5,id_rmse,16.0,12.0,26,0.014596441903939607,-0.039124415976152495,0.06831729978403171,True
scale,InvertedDoublePendulum-v5,id_rmse,16.0,24.0,26,0.13699375838041306,0.09213016807498164,0.18185734868584447,True
scale,InvertedDoublePendulum-v5,id_rmse,16.0,32.0,26,0.3018647333463797,0.23143458648915693,0.37229488020360246,True
scale,InvertedDoublePendulum-v5,id_rmse,16.0,64.0,26,0.9342595128199229,0.7663364060965804,1.1021826195432654,True
scale,InvertedDoublePendulum-v5,far_nll,16.0,4.0,26,1.8506210583906908,1.5156383764105235,2.1856037403708584,True
scale,InvertedDoublePendulum-v5,far_nll,16.0,8.0,26,0.5370207130908966,0.3007275906403708,0.7733138355414224,True
scale,InvertedDoublePendulum-v5,far_nll,16.0,12.0,26,0.03909819859724782,-0.29943693746713673,0.3776333346616324,False
scale,InvertedDoublePendulum-v5,far_nll,16.0,24.0,26,1.4127287085239704,1.1111503236171532,1.7143070934307876,True
scale,InvertedDoublePendulum-v5,far_nll,16.0,32.0,26,2.1340281596550574,1.8484892271043218,2.419567092205793,True
scale,InvertedDoublePendulum-v5,far_nll,16.0,64.0,26,3.1687258940476637,2.9087931107892544,3.428658677306073,True
scale,InvertedDoublePendulum-v5,far_auroc,16.0,4.0,26,0.0009366201923077073,0.0004153901430156322,0.0014578502415997824,False
scale,InvertedDoublePendulum-v5,far_auroc,16.0,8.0,26,0.0011969598076923122,0.0007913085072990757,0.0016026111080855486,False
scale,InvertedDoublePendulum-v5,far_auroc,16.0,12.0,26,0.0006456513461538313,0.00024020439313027534,0.0010510982991773872,False
scale,InvertedDoublePendulum-v5,far_auroc,16.0,24.0,26,-0.0016832053846153904,-0.0022963238657531075,-0.0010700869034776734,False
scale,InvertedDoublePendulum-v5,far_auroc,16.0,32.0,26,-0.0012174251923076768,-0.0018745783847471964,-0.0005602719998681571,False
scale,InvertedDoublePendulum-v5,far_auroc,16.0,64.0,26,-0.0007794592307692322,-0.0013140082074738022,-0.0002449102540646621,False
scale,InvertedDoublePendulum-v5,far_spearman,16.0,4.0,26,-0.04308377523508292,-0.06685568755315902,-0.01931186291700683,True
scale,InvertedDoublePendulum-v5,far_spearman,16.0,8.0,26,-0.03300651618768817,-0.060510709781551666,-0.005502322593824677,True
scale,InvertedDoublePendulum-v5,far_spearman,16.0,12.0,26,-0.03220693184006102,-0.06381772721436652,-0.0005961364657555215,True
scale,InvertedDoublePendulum-v5,far_spearman,16.0,24.0,26,0.045594248901101045,0.017819837786424507,0.07336866001577758,False
scale,InvertedDoublePendulum-v5,far_spearman,16.0,32.0,26,0.04616357902156695,0.01761946593685472,0.07470769210627919,False
scale,InvertedDoublePendulum-v5,far_spearman,16.0,64.0,26,0.047048204324910185,0.020876097711745166,0.07322031093807521,False
scale,InvertedPendulum-v5,id_rmse,16.0,4.0,26,-0.00013707379380671506,-0.00025030602135959665,-2.3841566253833473e-05,False
scale,InvertedPendulum-v5,id_rmse,16.0,8.0,26,-0.0001311689042128079,-0.0002438151533811945,-1.852265504442129e-05,False
