environment,factor_value_numeric,n_seeds,calibration_pool_size,bootstrap_fraction,per_member_rows,unique_rows,p,nominal_n_over_p,unique_n_over_p,id_rmse,far_nll,far_auroc
Ant-v5,512.0,27,512.0,0.1,51.0,49.0,201.0,0.2537313432835821,0.2437810945273631,0.59119654584814,5.952058271125511,0.8176475142592593
Ant-v5,1024.0,27,1024.0,0.1,102.0,97.0,201.0,0.5074626865671642,0.4825870646766169,0.6101689669820998,2.1483115752538047,0.9862838174074073
Ant-v5,2048.0,27,2048.0,0.1,204.0,194.0,201.0,1.0149253731343284,0.965174129353234,0.6465347983219005,1.0408295657899644,0.9971579627777778
Ant-v5,4096.0,27,4096.0,0.1,409.0,389.0,201.0,2.0348258706467663,1.935323383084577,0.6303702548698142,1.110601286093394,0.997846402037037
Ant-v5,8192.0,27,8192.0,0.1,819.0,779.0,201.0,4.074626865671642,3.875621890547264,0.6137879115563852,1.117791442959397,0.9979140177777778
HalfCheetah-v5,512.0,27,512.0,0.3,153.0,132.0,201.0,0.7611940298507462,0.6567164179104478,23440.355039243346,10.93334088502107,0.9498439401851853
HalfCheetah-v5,1024.0,27,1024.0,0.3,307.0,265.0,201.0,1.5273631840796023,1.318407960199005,3.279284680331195,4.116988906153926,0.9871383855555556
HalfCheetah-v5,2048.0,27,2048.0,0.3,614.0,531.0,201.0,3.0547263681592045,2.6417910447761197,1.4607412064516987,2.6850261908990367,0.987636655
HalfCheetah-v5,4096.0,27,4096.0,0.3,1228.0,1061.0,201.0,6.109452736318409,5.278606965174129,1.3397948962670785,2.1869791172168873,0.9872386253703703
HalfCheetah-v5,8192.0,27,8192.0,0.3,2457.0,2123.0,201.0,12.223880597014924,10.562189054726367,1.3246625794304743,2.5192537086981313,0.9870630512962963
Hopper-v5,512.0,27,512.0,0.3,153.0,132.0,201.0,0.7611940298507462,0.6567164179104478,69.93823531821921,6.147903671971074,0.8939603325925926
Hopper-v5,1024.0,27,1024.0,0.3,307.0,265.0,201.0,1.5273631840796023,1.318407960199005,0.21046571157596727,0.9610282050238715,0.9818450253703703
Hopper-v5,2048.0,27,2048.0,0.3,614.0,531.0,201.0,3.0547263681592045,2.6417910447761197,0.18818598268208678,0.5043158310431021,0.9846941105555556
Hopper-v5,4096.0,27,4096.0,0.3,1228.0,1061.0,201.0,6.109452736318409,5.278606965174129,0.1835785000412552,0.3539127039688605,0.9806825442592593
Hopper-v5,8192.0,27,8192.0,0.3,2457.0,2123.0,201.0,12.223880597014924,10.562189054726367,0.18208977580070493,0.32562249512584124,0.9775744596296296
Humanoid-v5,512.0,27,512.0,0.3,153.0,132.0,201.0,0.7611940298507462,0.6567164179104478,109726.66644965278,13.01411575741238,0.7195255955555555
Humanoid-v5,1024.0,27,1024.0,0.3,307.0,265.0,201.0,1.5273631840796023,1.318407960199005,60.225553300645615,3.7327401549727828,0.5044470303703703
Humanoid-v5,2048.0,27,2048.0,0.3,614.0,531.0,201.0,3.0547263681592045,2.6417910447761197,60.13563028971354,3.9126515211882413,0.370461597037037
Humanoid-v5,4096.0,27,4096.0,0.3,1228.0,1061.0,201.0,6.109452736318409,5.278606965174129,60.12322899147316,4.010160587452076,0.34433933796296295
Humanoid-v5,8192.0,27,8192.0,0.3,2457.0,2123.0,201.0,12.223880597014924,10.562189054726367,60.11854736893265,4.06223906411065,0.3324749033333333
HumanoidStandup-v5,512.0,27,512.0,0.2,102.0,93.0,201.0,0.5074626865671642,0.4626865671641791,22937.324313693578,11.643849160936144,0.9388297592592593
HumanoidStandup-v5,1024.0,27,1024.0,0.2,204.0,185.0,201.0,1.0149253731343284,0.9203980099502488,241.0907711452908,7.585636686395715,0.972152337962963
HumanoidStandup-v5,2048.0,27,2048.0,0.2,409.0,371.0,201.0,2.0348258706467663,1.845771144278607,47.15962784378617,5.506283936677156,0.9756923042592592
HumanoidStandup-v5,4096.0,27,4096.0,0.2,819.0,742.0,201.0,4.074626865671642,3.691542288557214,41.32246794524016,5.865518393339934,0.9277002431481483
HumanoidStandup-v5,8192.0,27,8192.0,0.2,1638.0,1485.0,201.0,8.149253731343284,7.388059701492538,40.86033856427228,7.073862534982187,0.8459794218518518
InvertedDoublePendulum-v5,512.0,26,512.0,0.05,25.0,24.0,201.0,0.1243781094527363,0.1194029850746268,0.03295088502076951,1.434658197256235,0.9959469563461538
InvertedDoublePendulum-v5,1024.0,26,1024.0,0.05,51.0,50.0,201.0,0.2537313432835821,0.2487562189054726,0.02954632366219388,1.4405628396914556,0.9962269848076922
InvertedDoublePendulum-v5,2048.0,26,2048.0,0.05,102.0,100.0,201.0,0.5074626865671642,0.4975124378109453,0.030777653750891816,1.4037407017671144,0.9962879513461539
InvertedDoublePendulum-v5,4096.0,26,4096.0,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437811,0.04479804416545304,1.4768263812248523,0.9957931084615385
InvertedDoublePendulum-v5,8192.0,26,8192.0,0.05,409.0,399.0,201.0,2.0348258706467663,1.9850746268656718,0.09818025047962478,2.4267457173420834,0.995826340576923
InvertedPendulum-v5,512.0,26,512.0,0.05,25.0,24.0,201.0,0.1243781094527363,0.1194029850746268,0.016502033542984906,-0.9263692641487489,0.9205327548076923
InvertedPendulum-v5,1024.0,26,1024.0,0.05,51.0,50.0,201.0,0.2537313432835821,0.2487562189054726,0.0159187617962463,-0.8160713407425926,0.9136165076923077
InvertedPendulum-v5,2048.0,26,2048.0,0.05,102.0,100.0,201.0,0.5074626865671642,0.4975124378109453,0.015581043813234292,-0.7525730734834304,0.9135590013461539
InvertedPendulum-v5,4096.0,26,4096.0,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437811,0.015657029616144947,-0.626088404096663,0.9082173790384616
InvertedPendulum-v5,8192.0,26,8192.0,0.05,409.0,399.0,201.0,2.0348258706467663,1.9850746268656718,0.015838913888168986,-0.28301032632589346,0.89654775
Pusher-v5,512.0,26,512.0,0.1,51.0,49.0,201.0,0.2537313432835821,0.2437810945273631,0.057383957104040983,2.1194479694733253,0.9996325413461539
Pusher-v5,1024.0,26,1024.0,0.1,102.0,97.0,201.0,0.5074626865671642,0.4825870646766169,0.05646368574637629,1.4085763784555287,0.9999376880769231
Pusher-v5,2048.0,26,2048.0,0.1,204.0,194.0,201.0,1.0149253731343284,0.965174129353234,0.05879157079527007,1.0159383851748247,0.9999998476923077
Pusher-v5,4096.0,26,4096.0,0.1,409.0,389.0,201.0,2.0348258706467663,1.935323383084577,0.05473036032456614,0.7112608047632071,0.9999968953846154
Pusher-v5,8192.0,26,8192.0,0.1,819.0,779.0,201.0,4.074626865671642,3.875621890547264,0.054207774882133145,0.7596496939659119,0.9999579384615385
Reacher-v5,512.0,26,512.0,0.05,25.0,24.0,201.0,0.1243781094527363,0.1194029850746268,0.09298279566260481,0.15089403064205092,0.9665377405769231
Reacher-v5,1024.0,26,1024.0,0.05,51.0,50.0,201.0,0.2537313432835821,0.2487562189054726,0.08907615479368426,0.24086492451337665,0.9829893475000001
Reacher-v5,2048.0,26,2048.0,0.05,102.0,100.0,201.0,0.5074626865671642,0.4975124378109453,0.08748817787720602,0.09268649773170738,0.9885614876923078
Reacher-v5,4096.0,26,4096.0,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437811,0.0891759538879761,0.09364969089913823,0.9932304657692307
Reacher-v5,8192.0,26,8192.0,0.05,409.0,399.0,201.0,2.0348258706467663,1.9850746268656718,0.08564511657907407,0.17245995676001674,0.9895073261538462
Swimmer-v5,512.0,27,512.0,0.05,25.0,24.0,201.0,0.1243781094527363,0.1194029850746268,0.03698641041086775,1.3058972513234173,0.9979213138888888
Swimmer-v5,1024.0,27,1024.0,0.05,51.0,50.0,201.0,0.2537313432835821,0.2487562189054726,0.03390112602048445,1.0163808950671442,0.9982474405555556
Swimmer-v5,2048.0,27,2048.0,0.05,102.0,100.0,201.0,0.5074626865671642,0.4975124378109453,0.060695201365484085,1.0956459608342912,0.9896350088888889
Swimmer-v5,4096.0,27,4096.0,0.05,204.0,199.0,201.0,1.0149253731343284,0.9900497512437814,0.06918299253340117,1.4966531285533198,0.99494269
Swimmer-v5,8192.0,27,8192.0,0.05,409.0,399.0,201.0,2.0348258706467663,1.985074626865672,0.030738384152452097,0.6399661026619099,0.9994411787037037
Walker2d-v5,512.0,27,512.0,0.3,153.0,132.0,201.0,0.7611940298507462,0.6567164179104478,0.6796657840410868,1.751493458394651,0.9861177996296296
Walker2d-v5,1024.0,27,1024.0,0.3,307.0,265.0,201.0,1.5273631840796023,1.318407960199005,0.6493915098684805,1.7014096622113828,0.995318162962963
Walker2d-v5,2048.0,27,2048.0,0.3,614.0,531.0,201.0,3.0547263681592045,2.6417910447761197,0.6214929311363785,1.9384060303370159,0.997076485925926
Walker2d-v5,4096.0,27,4096.0,0.3,1228.0,1061.0,201.0,6.109452736318409,5.278606965174129,0.6138927031446386,2.390735281838311,0.997786472962963
