factor,environment,metric,anchor_value,anchor_metric,curve_min,curve_max,curve_range,n_swept_values,min_seeds_per_value,verdict
scale,Ant-v5,id_rmse,8.0,0.6303842067718506,0.5947965758818167,0.646161143426542,0.05136456754472529,7,27,flat
scale,Ant-v5,far_nll,8.0,1.1105868021647136,0.9881198913962753,1.4693922555005108,0.48127236410423546,7,27,worse
scale,Ant-v5,far_auroc,8.0,0.9978463020370371,0.9974166699999999,0.9979760931481482,0.0005594231481482748,7,27,flat
scale,Ant-v5,far_spearman,8.0,0.8482334680696765,0.6267132517697113,0.8482334680696765,0.2215202162999652,7,27,worse
scale,HalfCheetah-v5,id_rmse,32.0,1.3398027817408245,1.3046637376149495,1.3659839895036485,0.06132025188869905,7,27,flat
scale,HalfCheetah-v5,far_nll,32.0,2.186953315028438,2.1218750211927624,2.4187091015003346,0.2968340803075722,7,27,worse
scale,HalfCheetah-v5,far_auroc,32.0,0.9872366683333333,0.9846787968518519,0.9872366683333333,0.002557871481481455,7,27,flat
scale,HalfCheetah-v5,far_spearman,32.0,0.28186701249774776,0.1739162419367774,0.3304634744864232,0.1565472325496458,7,27,worse
scale,Hopper-v5,id_rmse,32.0,0.18357799560935406,0.1732670962810516,0.18641698084495684,0.013149884563905229,7,27,flat
scale,Hopper-v5,far_nll,32.0,0.3539498812622494,0.3519000234427275,0.5379187177728724,0.18601869433014484,7,27,worse
scale,Hopper-v5,far_auroc,32.0,0.9806847922222223,0.9510126301851852,0.9811702501851852,0.030157619999999996,7,27,worse
scale,Hopper-v5,far_spearman,32.0,0.6390582712292177,0.5782608670520224,0.66170468608676,0.08344381903473763,7,27,worse
scale,Humanoid-v5,id_rmse,32.0,60.123224046495224,60.12041586416739,60.13357416788737,0.013158303719976061,7,27,flat
scale,Humanoid-v5,far_nll,32.0,4.010165046762537,3.979266811300207,4.150321898636995,0.17105508733678798,7,27,worse
scale,Humanoid-v5,far_auroc,32.0,0.3443490824074074,0.3181210509259259,0.36531383407407403,0.04719278314814812,7,27,worse
scale,Humanoid-v5,far_spearman,32.0,0.756825451954022,0.7270523776867807,0.7709479484454214,0.0438955707586407,7,27,worse
scale,HumanoidStandup-v5,id_rmse,8.0,41.32409872832122,40.90081737659596,42.092817306518555,1.191999929922595,7,27,flat
scale,HumanoidStandup-v5,far_nll,8.0,5.865887995119448,5.462116453382704,8.422907193501791,2.960790740119087,7,27,sharp
scale,HumanoidStandup-v5,far_auroc,8.0,0.9276984707407407,0.7677394711111112,0.9676706459259259,0.1999311748148147,7,27,sharp
scale,HumanoidStandup-v5,far_spearman,8.0,0.7170697647327373,0.7064681489997318,0.7556876724247521,0.04921952342502034,7,27,flat
scale,InvertedDoublePendulum-v5,id_rmse,16.0,0.04266555879551626,0.026415759590096146,0.9769250716154392,0.9505093120253431,7,26,sharp
scale,InvertedDoublePendulum-v5,far_nll,16.0,1.4183602333068848,1.4183602333068848,4.5870861273545485,3.1687258940476637,7,26,sharp
scale,InvertedDoublePendulum-v5,far_auroc,16.0,0.9957522492307693,0.9940690438461538,0.9969492090384615,0.0028801651923077154,7,26,flat
scale,InvertedDoublePendulum-v5,far_spearman,16.0,0.9338810579870972,0.8907972827520143,0.9809292623120075,0.09013197955999319,7,26,sharp
scale,InvertedPendulum-v5,id_rmse,16.0,0.015547427169692015,0.0154103533758853,0.1819460306030053,0.16653567722711998,7,26,sharp
scale,InvertedPendulum-v5,far_nll,16.0,-0.7121493957506922,-0.7924597547031366,1.1083761350466654,1.900835889749802,7,26,sharp
scale,InvertedPendulum-v5,far_auroc,16.0,0.9186127555769231,0.8610099765384616,0.9186127555769231,0.05760277903846156,7,26,sharp
scale,InvertedPendulum-v5,far_spearman,16.0,0.72573337910235,0.533696358130057,0.9666855289877728,0.4329891708577158,7,26,sharp
scale,Pusher-v5,id_rmse,8.0,0.054730357888799396,0.05403683965022744,0.05652575424084291,0.002488914590615475,7,26,flat
scale,Pusher-v5,far_nll,8.0,0.7112529140252334,0.7112529140252334,2.892648302591764,2.1813953885665307,7,26,worse
scale,Pusher-v5,far_auroc,8.0,0.9999968969230769,0.9963047059615384,0.9999997815384615,0.003695075576923057,7,26,flat
scale,Pusher-v5,far_spearman,8.0,0.8618079807495025,0.7198424256238739,0.9047373167589683,0.18489489113509439,7,26,sharp
scale,Reacher-v5,id_rmse,8.0,0.08917244294515017,0.08501574683647885,0.24128031959900487,0.15626457276252603,7,26,worse
scale,Reacher-v5,far_nll,8.0,0.09348944975779604,-0.038145985740881676,1.3668994032419646,1.4050453889828463,7,26,sharp
scale,Reacher-v5,far_auroc,8.0,0.9932317342307692,0.9777514919230769,0.9932556174999999,0.015504125576923045,7,26,flat
scale,Reacher-v5,far_spearman,8.0,0.8758561766018444,0.8334294238836927,0.8892205600580406,0.055791136174347944,7,26,worse
scale,Swimmer-v5,id_rmse,8.0,0.06351186983563278,0.03399407594568195,0.8894288744087573,0.8554347984630754,7,27,sharp
scale,Swimmer-v5,far_nll,8.0,1.450780612451059,0.7142914290781375,4.519369699336864,3.8050782702587265,7,27,sharp
scale,Swimmer-v5,far_auroc,8.0,0.995208498888889,0.9926133718518518,0.9990528805555555,0.006439508703703689,7,27,flat
scale,Swimmer-v5,far_spearman,8.0,0.7310512229953162,0.6252376572166649,0.9127038785213388,0.2874662213046739,7,27,sharp
scale,Walker2d-v5,id_rmse,16.0,0.6138927053522181,0.5838303830888536,0.639195183912913,0.05536480082405937,7,27,flat
scale,Walker2d-v5,far_nll,16.0,2.390735723354198,1.8877046329003793,7.155784712897407,5.268080079997027,7,27,sharp
scale,Walker2d-v5,far_auroc,16.0,0.9977864733333334,0.9781422685185185,0.9986988892592592,0.020556620740740716,7,27,flat
scale,Walker2d-v5,far_spearman,16.0,0.3533004039871244,0.33969962099461837,0.35961314584431153,0.019913524849693165,7,27,flat
rank,Ant-v5,id_rmse,20.0,0.6303842067718506,0.6233533885743883,0.6370493063220272,0.013695917747638897,8,27,flat
rank,Ant-v5,far_nll,20.0,1.1105868021647136,1.1085371772448223,1.126411203984861,0.017874026740038795,8,27,flat
rank,Ant-v5,far_auroc,20.0,0.9978463020370371,0.9975259683333333,0.9979264231481482,0.00040045481481487677,8,27,flat
rank,Ant-v5,far_spearman,20.0,0.8482334680696765,0.835193771595867,0.854843212398018,0.01964944080215092,8,27,flat
rank,HalfCheetah-v5,id_rmse,20.0,1.3398027817408245,1.3376315611380118,1.3801389623571325,0.042507401219120666,8,27,flat
rank,HalfCheetah-v5,far_nll,20.0,2.186953315028438,2.156710240576002,2.3020041827802307,0.14529394220422853,8,27,worse
