environment,factor,id_rmse_range,far_nll_range,far_auroc_range,far_spearman_range,id_rmse_anchor,far_nll_anchor,far_auroc_anchor,far_spearman_anchor
Ant-v5,scale,0.08148136801802082,0.48127236410423546,0.0005594231481480527,0.2215202162999651,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,rank,0.021726302151151036,0.017874026740038795,0.00040045481481487677,0.01964944080215103,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,bootstrap,0.08348804636526037,0.17526177344498817,0.0018203194444443849,0.08369081376094412,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,calib,0.08778496015492446,4.911228705335546,0.18026650351851858,0.6527261640399185,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,ridge,0.7322199500113611,7.175971201172581,0.2422769048148149,0.7301514143237473,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
Ant-v5,layer,0.02245537142396971,0.010937974408820939,2.466425925928828e-05,0.02312971677198794,0.6303842067718506,1.1105868021647136,0.9978463020370371,0.8482334680696765
HalfCheetah-v5,scale,0.04576811805766278,0.2968340803075722,0.002557871481481344,0.15654723254964573,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,rank,0.03172661066122747,0.14529394220422853,0.0016490287037036477,0.05083369136910898,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,bootstrap,67.86446931803623,5.1968344582451715,0.006748968333333383,0.8248994157287355,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,calib,17494.388499633696,8.746361767804181,0.03779271481481461,0.8162020292353375,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,ridge,0.024921809784693414,0.9271498344562672,0.002680660555555603,0.2826114069900175,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
HalfCheetah-v5,layer,0.02841357103394746,1.8853625191582575,0.00332637888888887,0.15586752185757183,1.3398027817408245,2.186953315028438,0.9872366683333333,0.28186701249774776
Hopper-v5,scale,0.0716310498992897,0.18601869433014484,0.030157620000000107,0.08344381903473752,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,rank,0.05694450678390438,0.36447469393412274,0.012553917407407522,0.05175446217541779,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
Hopper-v5,bootstrap,49.04886602526352,4.65877239599272,0.041043254629629544,0.3274979320398108,0.1835779956093541,0.3539498812622494,0.9806847922222223,0.6390582712292177
