sweep,value,is_default,n_seeds,rmse_id,rmse_id_std,nll_id,nll_id_std,nll_ood_near,nll_ood_near_std,nll_ood_mid,nll_ood_mid_std,nll_ood_far,nll_ood_far_std,auroc_ood_near,auroc_ood_near_std,auroc_ood_mid,auroc_ood_mid_std,auroc_ood_far,auroc_ood_far_std
scale,0.25x,False,3,1.642382065455119,0.08791848584720557,0.36840495591362316,0.39060209835658966,5.224164644877116,0.7367781225627488,2.803055683771769,0.13023018653052781,2.3702364762624106,0.6259906162112113,0.6465221166666666,0.03202419807592307,0.7963200850000001,0.04005226979880933,0.9663675899999999,0.012881080553222903
scale,0.5x,False,3,1.6422672669092815,0.08755402438416643,0.26657915363709134,0.255896562753066,3.674128850301107,0.49461333272513386,2.5724079608917236,0.14555701876600424,2.0125678380330405,0.3302411982145288,0.6659779366666667,0.02985429067719004,0.838025755,0.03656545849231026,0.973424185,0.008851752866350886
scale,1.0x,True,3,1.6434122721354167,0.08711911426878224,0.21811711291472116,0.18565040676955533,2.803187449773153,0.47466674497766614,2.321746349334717,0.13742442878106076,1.8741137584050496,0.24586623864718538,0.6916644416666666,0.029218678740760274,0.8932110816666666,0.029354314550035777,0.9812568549999999,0.005446951174539395
scale,2.0x,False,3,1.6483952204386394,0.08767320200062151,0.1912729057172934,0.13486309870095428,2.2721729278564453,0.24575363461425764,2.1110613346099854,0.11009616627998582,1.807973066965739,0.17730007388711325,0.72127608,0.0279909060933333,0.9393266566666667,0.016378916012224527,0.9855872166666666,0.00539128500917499
scale,4.0x,False,3,1.653954267501831,0.08570897593184174,0.18758790691693625,0.11344044318365407,1.9300029277801514,0.13357015983537304,1.9866389830907185,0.06348862284581229,1.777953823407491,0.15043598746278178,0.7491596866666668,0.027065074933088032,0.9595290133333334,0.008835414461726674,0.9871917783333334,0.005873168642896793
rank,1,False,3,1.6473970413208008,0.08892417909925479,0.2252539669473966,0.18260906714163844,2.9030628204345703,0.5114310917467236,2.3841474850972495,0.1439736049247853,1.899599273999532,0.24702553107974806,0.6866925916666666,0.027784527943777244,0.8813465249999999,0.031081701902370237,0.9802557816666666,0.005502145274839448
rank,2,False,3,1.6463606754938762,0.08929665269930148,0.19855184853076935,0.15367650193418708,2.6411732037862143,0.4123008395292412,2.343308607737223,0.13518813761110673,1.8465230067571003,0.2040680940774161,0.6899110433333333,0.028035720257207086,0.88834918,0.032834099642635534,0.9804056699999999,0.005236907290001141
rank,5,False,3,1.6440765062967937,0.08733160130888724,0.21200304726759592,0.17622075975497553,2.685746431350708,0.3166017716280775,2.327752192815145,0.1200085033312776,1.867480993270874,0.23487576375810654,0.6916996733333334,0.028891460451446655,0.8937709933333333,0.02607832377122466,0.980996635,0.0051766245845096814
rank,20,True,3,1.6434122721354167,0.08711911426878224,0.21811711291472116,0.18565040676955533,2.803187449773153,0.47466674497766614,2.321746349334717,0.13742442878106076,1.8741137584050496,0.24586623864718538,0.6916644416666666,0.029218678740760274,0.8932110816666666,0.029354314550035777,0.9812568549999999,0.005446951174539395
rank,40,False,3,1.6444483598073323,0.08721809897591808,0.2082932802538077,0.17123894718241114,2.736967404683431,0.22701942399764538,2.325671831766764,0.13002611660553695,1.862106442451477,0.2304737993309145,0.6931106016666667,0.028661519448444653,0.8929957133333334,0.027478646243586164,0.9808102483333333,0.0054034716924867224
bootstrap,0.0,False,3,1.642909089724223,0.0875896436102447,0.39775097494324047,0.43445926398333135,4.933113257090251,0.5323063321949656,2.6173484325408936,0.14424891161304793,2.5557220379511514,0.948741689437423,0.6693179516666666,0.030881907933061784,0.839386155,0.03668738667034584,0.9705065116666667,0.010976074176924033
bootstrap,0.1,True,3,1.6434122721354167,0.08711911426878224,0.21811711291472116,0.18565040676955533,2.803187449773153,0.47466674497766614,2.321746349334717,0.13742442878106076,1.8741137584050496,0.24586623864718538,0.6916644416666666,0.029218678740760274,0.8932110816666666,0.029354314550035777,0.9812568549999999,0.005446951174539395
bootstrap,0.25,False,3,1.6428782145182292,0.08760564447174436,0.30572185292840004,0.3085995335219094,3.959479729334513,0.3525114309029979,2.49012557665507,0.13816362066165463,2.1541320085525513,0.5275970026657573,0.6771936816666666,0.02961859404142085,0.86107717,0.03322654608402818,0.9760185733333334,0.0074506567368714804
bootstrap,0.5,False,3,1.6427303949991863,0.08762242621000058,0.34018605574965477,0.3555023516798689,4.267908891042073,0.3700534734774383,2.553898255030314,0.14444070788034138,2.3199843565622964,0.6995486119212235,0.67229781,0.02982468343795234,0.8487610966666667,0.03546255105231816,0.9741166,0.008412570250732866
bootstrap,0.75,False,3,1.6428419351577759,0.08790876024830223,0.36776718497276306,0.39384171602198587,4.559828281402588,0.44059063017498173,2.586188793182373,0.14330788290606855,2.4171529610951743,0.8064281629693578,0.6709939233333334,0.029943121293881665,0.8438711983333332,0.03584616812712861,0.9731038949999999,0.00921104789630098
bootstrap,0.99,False,3,1.6428424914677937,0.08751484901419052,0.38674195980032283,0.4198626431501523,4.7614288330078125,0.5287438431630118,2.598024050394694,0.14377649432103692,2.4923685789108276,0.8871782566763912,0.6705854516666666,0.030475804102661007,0.842198545,0.03604492086554797,0.9708107833333333,0.01064762615896643
ridge,0.0,True,3,1.6434122721354167,0.08711911426878224,0.21811711291472116,0.18565040676955533,2.803187449773153,0.47466674497766614,2.321746349334717,0.13742442878106076,1.8741137584050496,0.24586623864718538,0.6916644416666666,0.029218678740760274,0.8932110816666666,0.029354314550035777,0.9812568549999999,0.005446951174539395
ridge,0.0001,False,3,1.645342191060384,0.08889108370294342,0.158932663500309,0.1019135685654658,2.2181650400161743,0.4794029130009998,2.305835247039795,0.14378910656768049,1.843154509862264,0.15137727279673535,0.6948329733333334,0.029037070373496753,0.9015351616666667,0.027868195647699993,0.98475485,0.004299408439525863
ridge,0.01,False,3,1.64339284102122,0.08714726975714782,0.24429818242788315,0.22313800169252684,3.1788952350616455,0.4197531628731429,2.3488779862721763,0.13536170467547767,1.9373777310053508,0.32305022701479963,0.689897705,0.028918252934240652,0.8881824866666667,0.02888942835106133,0.9797574333333334,0.005711751562491286
ridge,1.0,False,3,1.6446986198425293,0.08713148684547899,0.3641769426564376,0.38678466056271366,4.319413185119629,0.4664737090591374,2.502534786860148,0.13780161168422103,2.2992772261301675,0.7229695706615423,0.6768819483333334,0.02930488117702984,0.8544898333333334,0.03217016571283879,0.973104115,0.009211941279568446
ridge,100.0,False,3,1.6768934726715088,0.08206808054163599,0.4256497472524643,0.39438165024133887,4.059880654017131,0.6464298997853464,2.3981035550435386,0.05841121462904507,2.2448550860087075,0.6836525745863973,0.711688475,0.022782892957687567,0.8725560883333333,0.01628269643000214,0.9666847949999999,0.008706668979056647
layer,single-block-L0,False,3,1.643789807955424,0.08760360722553776,0.2958797253668308,0.29342814106957255,3.699650764465332,0.1151682560455004,2.4417863686879477,0.21679360532607903,2.202829678853353,0.5925517099645642,0.681495375,0.0348911642483272,0.8732541233333334,0.04450616965650056,0.975560885,0.009584885733985048
layer,"multi-block-L0,2*",True,3,1.6434122721354167,0.08711911426878224,0.21811692416667938,0.1856504954535718,2.803185065587362,0.4746635677940765,2.3217461903889975,0.137424540605226,1.87411363919576,0.2458663550076537,0.6916644666666667,0.02921871364596109,0.893211055,0.02935428387053505,0.9812568633333333,0.005446962959572497
