method,extra_opt,cal_n,id_acc,id_nll,id_ece,near_auroc,near_fpr95,far_auroc,far_fpr95,fit_s,storage_mib,evals
MSP,no,0,0.81068,0.848228,0.091307,0.735172,0.81841,0.860352,0.517387,0.0,0.0,1
Energy,no,0,0.81068,0.848228,0.091307,0.623893,0.93163,0.789623,0.85294,0.0,0.0,1
ReAct + Energy,no,8192,0.81068,0.848228,0.091307,0.692071,0.84231,0.856104,0.539007,0.113796,0.0,1
Mahalanobis,no,32768,0.81068,0.848228,0.091307,0.788189,0.66364,0.92554,0.302287,0.300157,5.179688,1
Laplace (KFAC),no,32768,0.81014,0.844631,0.090136,0.746301,0.75035,0.865614,0.487887,1.133801,6.07056,20
Uncorrected perturb.,no,32768,0.806192,0.904784,0.04659,0.72532,0.716614,0.844007,0.4651,12.0,0.0,20
"P&C (r=2, primary)",no,32768,0.8083,0.804547,0.05423,0.764858,0.676544,0.878916,0.449679,12.0,167.0,20
