r_target,realized_r_median,realized_r_min,realized_r_max,lambda,M,n_cal,top1,top1_std,delta_top1_pp,lcb_pp,ucb_pp,bootstrap_point_pp,seed_spread_pp,top5,nll,nll_std,ece,ece_std,brier,base_agreement,mean_pred_entropy,logit_mse_mean,logit_mse_median,logit_mse_p90,logit_mse_p95,logit_mse_p99,calib_residual,heldout_cls_residual,unc_top1,unc_delta_top1_pp,unc_nll,unc_ece,unc_base_agreement,unc_logit_mse_median,unc_logit_mse_p99,all_finite,pathology,pass_strict,pass_primary,pass_relaxed
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,0.001,10,32768,0.9376627604166666,0.000576881790314039,-0.056966145833337034,-0.13020833333333334,0.01627604166666665,-0.05696614583333335,0.10986328125,0.9946695963541666,0.20885087670288102,0.0002523343306818742,0.009545825990584102,0.0002229698622314095,0.09181533034013968,0.9966634114583334,0.20137677402192933,0.003667346669705141,0.0015823390283053894,0.010273926369029395,0.014529421415646464,0.02292020855615,0.1298268728891058,0.15567446778992064,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,0.01,10,32768,0.9376627604166666,0.000576881790314039,-0.056966145833337034,-0.13020833333333334,0.01627604166666665,-0.05696614583333335,0.10986328125,0.9946695963541666,0.20884986190200996,0.0002527251394180121,0.009546468676237402,0.00022340456008455156,0.09181477192518606,0.9966634114583334,0.20137346813161772,0.0036654153419683534,0.0015818730557025174,0.010267789453572285,0.014515487267119527,0.022898140372177956,0.12982916209969766,0.15563400981760656,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,0.1,10,32768,0.9376627604166666,0.000576881790314039,-0.056966145833337034,-0.13020833333333334,0.01627604166666665,-0.05696614583333335,0.10986328125,0.9946695963541666,0.20884672602808174,0.0002538465288075699,0.009532931787409011,0.0002529605615064041,0.09181248142823502,0.9966634114583334,0.20135806108972595,0.0036557186961501766,0.001579995793456964,0.010233823645109238,0.014472331651101048,0.022809085151822298,0.12987603498603903,0.1554258750223699,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,1.0,10,32768,0.9375813802083334,0.0004933412944735572,-0.06510416666666297,-0.13834635416666669,0.008138020833333325,-0.06510416666666667,0.08544921875,0.9946695963541666,0.20882311334944012,0.0002532695198393357,0.009561070199982761,0.00023366174385905822,0.09180035099913764,0.99658203125,0.20131972035472878,0.003625798239184798,0.001575816275809362,0.010136759227888597,0.014301068682970874,0.022463901118554726,0.13030749656559837,0.15476433985468727,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,10.0,10,32768,0.9376220703125,0.0006459353786778786,-0.06103515625,-0.13427734375,0.008138020833333325,-0.06103515625000002,0.1220703125,0.9946695963541666,0.20856709376804405,0.00024031941814366657,0.009424312134195596,0.00031363788830456827,0.09169120150778753,0.9969075520833334,0.20126374297989622,0.0035200356792139454,0.0015747168059015765,0.009758042223413177,0.013674924990462441,0.02142413728614155,0.13227113250365466,0.15266313701695236,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,100.0,10,32768,0.9377848307291666,0.0006144070992245076,-0.044759114583337034,-0.1017252604166667,0.01220703124999999,-0.04475911458333334,0.1220703125,0.9946695963541666,0.2076344416630509,0.0002016194944872023,0.0094096541712362,0.0004305758760792902,0.09128116436755562,0.9977213541666666,0.2021820365836812,0.0035935767199277873,0.0017960421683985977,0.009500599961677384,0.013118356651308456,0.020396725953949504,0.14495219076531551,0.15575397014526912,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,1000.0,10,32768,0.9380696614583334,0.00039240115401175757,-0.016276041666662966,-0.0732421875,0.04069010416666665,-0.016276041666666678,0.0732421875,0.9945882161458334,0.20683362219578583,0.00016489283486882794,0.008915655375171723,0.00046267721037124206,0.0908432139638949,0.9979248046875,0.20694652743939246,0.004772365935329623,0.002847630955330869,0.011447412102596914,0.015473941056854195,0.02367203438391258,0.18013034677290565,0.1833541201207537,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.5,0.5000024673474396,0.29046251126527095,0.6294714930208382,10000.0,10,32768,0.9383951822916666,0.00030720354961225385,0.016276041666662966,-0.04069010416666667,0.07324218749999999,0.016276041666666654,0.06103515625,0.9944661458333334,0.20674408586771356,0.00016450222070242708,0.008017730704741061,0.000613309350639062,0.09069248619186449,0.9977620442708334,0.211463157174582,0.0060354802243477315,0.003864480767304361,0.01381306205344898,0.01843250640826136,0.028106611378969294,0.20751630960556763,0.20828904450271682,0.9382731119791666,0.004069010416662966,0.20667832539134565,0.008819866053995805,0.99755859375,0.004755488174752819,0.03133403036604548,True,,True,True,True
0.75,0.7500036877838765,0.4356937458158137,0.944207286147914,0.001,10,32768,0.936279296875,0.0002114319833458102,-0.1953125,-0.30517578125,-0.0895182291666667,-0.1953125,0.03662109375,0.9944661458333334,0.2121568109581734,0.000404210102622146,0.010201926583375117,0.00026497575180986635,0.09312738367813374,0.9937337239583334,0.20825849420966125,0.007587154541086473,0.003273553954308029,0.02129687941749546,0.030155199307729696,0.04733706028705564,0.1855113760165281,0.22207151601056915,0.9380696614583334,-0.016276041666662966,0.2077830208834013,0.006704368064753733,0.996337890625,0.011650347486659841,0.08030366475194455,True,,False,True,True
0.75,0.7500036877838765,0.4356937458158137,0.944207286147914,0.01,10,32768,0.9362386067708334,0.000281909311127747,-0.19938151041666297,-0.3092447916666667,-0.09358723958333334,-0.19938151041666669,0.048828125,0.9944661458333334,0.21215523051859195,0.0004046363551831237,0.01033521755351951,0.00024386228103632712,0.09312680831468066,0.9936930338541666,0.20825479215206008,0.007584560505182206,0.0032730584044365295,0.0212857885787552,0.03014021319557021,0.04731282961953978,0.18551239840787284,0.2220372158760493,0.9380696614583334,-0.016276041666662966,0.2077830208834013,0.006704368064753733,0.996337890625,0.011650347486659841,0.08030366475194455,True,,False,True,True
