source_file,method,seed,perturbation_scale,ensemble_name,accuracy,id_nll,id_ece,id_brier,near_ood_auroc,near_ood_fpr95,far_ood_auroc,far_ood_fpr95,posthoc_temperature,posthoc_calibrate,primary_score,temperature_fit_split,ood_validation_used,ood_tuning_used
openood_v1p5_energy_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed0.json,energy_vcal,0,,Energy,0.9577999711036682,0.13836705684661865,0.00911585206091404,0.062451791018247604,0.8712176325,0.6523,0.9312372621295286,0.307,1.3119682710711582,True,energy_score,id_validation_only,False,False
openood_v1p5_energy_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed1.json,energy_vcal,1,,Energy,0.9589999914169312,0.14436517655849457,0.009824937891960143,0.06364124268293381,0.8687676099999999,0.674,0.9044939915862256,0.431125,1.359665467248168,True,energy_score,id_validation_only,False,False
openood_v1p5_energy_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed2.json,energy_vcal,2,,Energy,0.9554999470710754,0.14894457161426544,0.011644010402262211,0.06758418679237366,0.870064245,0.6629,0.9057022321185382,0.410775,1.329147844802032,True,energy_score,id_validation_only,False,False
"openood_v1p5_epinet_vcal_n50_epi100_idim8_h50,50_ps3.0_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed0.json","epinet_vcal_n50_epi100_idim8_h50,50_ps3.0",0,,Epinet,0.958299994468689,0.14217649400234222,0.010647180792689323,0.06276945769786835,0.8810515325000001,0.61615,0.9354648837761871,0.27942500000000003,1.708529915096124,True,predictive_entropy,id_validation_only,False,False
"openood_v1p5_epinet_vcal_n50_epi100_idim8_h50,50_ps3.0_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed1.json","epinet_vcal_n50_epi100_idim8_h50,50_ps3.0",1,,Epinet,0.9592999815940857,0.1487651765346527,0.007386805477738381,0.06379447132349014,0.8808876750000001,0.6343000000000001,0.9180070048835258,0.35835,1.8014250038050768,True,predictive_entropy,id_validation_only,False,False
"openood_v1p5_epinet_vcal_n50_epi100_idim8_h50,50_ps3.0_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed2.json","epinet_vcal_n50_epi100_idim8_h50,50_ps3.0",2,,Epinet,0.9550999999046326,0.15341515839099884,0.012820035828649998,0.06838687509298325,0.880063335,0.6505000000000001,0.9112540634664156,0.41515,1.737783887483675,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_llla_vcal_n50_prec10.0_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed0.json,llla_vcal_n50_prec10.0,0,,LLLA,0.9583999514579773,0.13383303582668304,0.00711359960436821,0.06145118176937103,0.8964394474999999,0.48045000000000004,0.9423221200325131,0.218125,0.8329885131557957,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_llla_vcal_n50_prec10.0_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed1.json,llla_vcal_n50_prec10.0,1,,LLLA,0.9598000049591064,0.14075961709022522,0.007660329081118107,0.0626583993434906,0.8922595449999999,0.5258499999999999,0.9299931241558562,0.258475,0.8624612447516252,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_llla_vcal_n50_prec10.0_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed2.json,llla_vcal_n50_prec10.0,2,,LLLA,0.9549999833106995,0.14641164243221283,0.010119834983348846,0.0665600597858429,0.8802730724999999,0.61745,0.9189656224931617,0.37655,0.8694308827550535,True,predictive_entropy,id_validation_only,False,False
openood_v1p5_mahalanobis_vcal_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_seed0.json,mahalanobis_vcal,0,,Mahalanobis,0.9576999545097351,0.13836364448070526,0.009220037704706191,0.06244893744587898,0.8812964775000001,0.6523,0.9289428319766397,0.307,1.3119215434514915,True,mahalanobis,id_validation_only,False,False
