env,method,n_seeds,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far
Ant-v5,"Hybrid PnC+DE + Prob (Random-Proj) (M=10, K=5) [relu] (5.0)",5,0.5498+/-0.0116,-1.6896+/-0.2687,-0.4498+/-0.1719,0.1063+/-0.5349,1.0177+/-0.4115,0.7318+/-0.0357,0.7963+/-0.0361,0.9868+/-0.0195
Ant-v5,"Hybrid PnC+DE + VCal + Prob (Random-Proj) (M=5, K=10) [relu] (50.0)",5,0.5510+/-0.0136,-1.8107+/-0.4095,1.8118+/-0.8231,3.8925+/-1.7734,7.6947+/-3.1004,0.6661+/-0.0307,0.7038+/-0.0441,0.9036+/-0.0753
HalfCheetah-v5,"MC Dropout (n=100, dr=0.05) [relu]",3,1.4902+/-0.0868,0.6307+/-0.6584,27.9194+/-19.7919,2.3314+/-0.3375,2.8200+/-1.2044,0.7049+/-0.0561,0.8385+/-0.1046,0.9260+/-0.0218
HalfCheetah-v5,"MC Dropout + VCal (n=100, dr=0.05) [relu]",5,1.4568+/-0.0975,0.5684+/-1.0123,51.5745+/-49.7923,3.1618+/-0.6252,5.9033+/-3.9268,0.7241+/-0.0505,0.8821+/-0.0905,0.9343+/-0.0170
HalfCheetah-v5,Deep Ensemble (n=20) [relu],3,1.2535+/-0.0848,0.2408+/-0.9816,8.6254+/-2.4778,2.0233+/-0.2468,2.7637+/-1.6875,0.8011+/-0.0361,0.9584+/-0.0212,0.9797+/-0.0085
HalfCheetah-v5,Deep Ensemble + VCal (n=50) [relu],3,1.2347+/-0.0826,0.5154+/-1.5029,15.9618+/-3.6832,2.8863+/-0.4897,3.8854+/-2.5866,0.8055+/-0.0362,0.9610+/-0.0193,0.9808+/-0.0085
HalfCheetah-v5,Subspace (n=100) (T=0.0) [gelu],1,1.6189+/-0.0000,0.1409+/-0.0000,8.7833+/-0.0000,4.2943+/-0.0000,2.3252+/-0.0000,0.5158+/-0.0000,0.4777+/-0.0000,0.7694+/-0.0000
HalfCheetah-v5,Subspace (n=100) [relu] (T=1.0),3,1.6462+/-0.0923,1.3377+/-1.9304,136.6054+/-156.7427,3.7302+/-0.7527,7.9616+/-6.8077,0.6311+/-0.0297,0.7493+/-0.0739,0.9737+/-0.0024
HalfCheetah-v5,Subspace + VCal (n=100) (T=0.0) [relu],5,1.6725+/-0.0760,0.4032+/-0.5624,13.3963+/-10.8603,4.5545+/-0.6844,3.8113+/-1.6886,0.6010+/-0.0304,0.6989+/-0.0601,0.9487+/-0.0280
HalfCheetah-v5,SWAG (n=100) [relu] (scale=0.3),3,1.5159+/-0.0988,0.9323+/-1.3503,53.6307+/-44.1810,3.7358+/-0.8247,3.9978+/-2.3768,0.6508+/-0.0342,0.7748+/-0.0855,0.9728+/-0.0029
HalfCheetah-v5,SWAG + VCal (n=100) [relu],5,1.4899+/-0.0920,0.3912+/-0.8348,18.0744+/-8.3438,4.3174+/-0.8173,4.8587+/-3.3561,0.6448+/-0.0394,0.7776+/-0.0842,0.9628+/-0.0133
HalfCheetah-v5,Laplace (n=100) [relu] (prior=100000.0),5,1.2573+/-0.1083,0.5945+/-1.7946,53.5115+/-36.5340,3.3729+/-0.9586,6.3781+/-4.0171,0.7355+/-0.0382,0.8852+/-0.0654,0.9659+/-0.0050
HalfCheetah-v5,Laplace + VCal (n=100) [relu] (prior=100000.0),5,1.2568+/-0.1087,0.7131+/-2.0790,73.2280+/-51.5747,4.2204+/-1.2875,8.0266+/-5.3319,0.7365+/-0.0377,0.8855+/-0.0654,0.9660+/-0.0047
HalfCheetah-v5,Evidential (lam=0.01) [relu],5,1.2224+/-0.0921,17.9870+/-36.8036,13927.7484+/-20410.0389,3.4543+/-1.1036,63.8728+/-87.6098,0.7017+/-0.0340,0.7891+/-0.0788,0.8040+/-0.0570
HalfCheetah-v5,Evidential + ESN (lam=0.01) [relu],5,1.2224+/-0.0921,17.9870+/-36.8036,13927.7461+/-20410.0344,3.4543+/-1.1036,63.8728+/-87.6098,0.7017+/-0.0340,0.7891+/-0.0788,0.8040+/-0.0570
HalfCheetah-v5,Evidential + VCal (lam=0.01) [relu],5,1.2224+/-0.0921,12.6561+/-26.1448,13374.0351+/-19727.9637,3.1816+/-0.9492,56.3744+/-78.9819,0.7017+/-0.0340,0.7891+/-0.0788,0.8040+/-0.0570
HalfCheetah-v5,Evidential + VCal + ESN (lam=0.01) [relu],5,1.2224+/-0.0921,12.6561+/-26.1448,13374.0351+/-19727.9637,3.1816+/-0.9492,56.3744+/-78.9819,0.7017+/-0.0340,0.7891+/-0.0788,0.8040+/-0.0570
HalfCheetah-v5,"PJSVD-Multi- + Prob (Random-Proj) (k=20, n=50) [relu] (size=5.0)",5,1.9073+/-0.0973,1.0605+/-0.3152,7.6436+/-5.5714,2.1731+/-0.1919,2.4069+/-0.8203,0.5021+/-0.0192,0.4609+/-0.0417,0.6237+/-0.0850
HalfCheetah-v5,"PJSVD-Multi-LS + Prob (Low-Proj) (k=20, n=50) [relu] (size=20.0)",5,1.6115+/-0.0824,0.3994+/-0.5963,14.3905+/-14.6634,3.0294+/-0.4853,3.4731+/-1.5181,0.6489+/-0.0383,0.7864+/-0.0778,0.9668+/-0.0153
HalfCheetah-v5,"PJSVD-Multi-LS + Prob (Random-Full-Proj) (k=20, n=200) [relu] (size=5.0)",1,1.5524+/-0.0000,0.1323+/-0.0000,4.6394+/-0.0000,2.4426+/-0.0000,1.7048+/-0.0000,0.7131+/-0.0000,0.8916+/-0.0000,0.9839+/-0.0000
HalfCheetah-v5,"PJSVD-Multi-LS + Prob (Random-Proj) (k=20, n=50) [relu] (size=5.0)",5,1.6091+/-0.0819,0.2454+/-0.3286,7.2291+/-5.1230,2.6302+/-0.3046,2.6498+/-0.9508,0.6784+/-0.0272,0.8401+/-0.0574,0.9775+/-0.0078
