seed,label,stage_idx,block_idx,scale,bootstrap_frac,chunk_size,temperature,val_nll_calibrated,val_nll_uncalibrated,val_accuracy,val_ece,val_brier,base_agreement,build_secs,repro_ok
0,,1,0,100.0,0.05,16,1.1716737729429236,0.15542642772197723,0.15812692046165466,95.17999999999999,0.009217627203464532,0.07481949776411057,0.9716,27.3,True
0,,1,0,100.0,0.1,16,1.190273052104114,0.1564762443304062,0.1599583923816681,95.02000000000001,0.007534411287307713,0.07505671679973602,0.9714,25.0,True
0,,1,0,100.0,0.2,16,1.1959481651858412,0.15651537477970123,0.16027794778347015,95.02000000000001,0.008182462275028198,0.07496850937604904,0.9718,26.2,True
0,,1,0,25.0,0.05,16,1.1896170499854886,0.1409338116645813,0.14431212842464447,95.78,0.010311174577474573,0.06726410239934921,0.9794,32.9,True
0,,1,0,25.0,0.1,16,1.203597245082272,0.1420293152332306,0.14605560898780823,95.72,0.010044942069053648,0.06759261339902878,0.9786,34.4,True
0,,1,0,25.0,0.2,16,1.2082675285750477,0.14190098643302917,0.1461586207151413,95.7,0.00952372587323188,0.06737314164638519,0.9794,29.6,True
0,,1,0,50.0,0.05,16,1.1731141982184992,0.15082091093063354,0.15357083082199097,95.34,0.009217525589466076,0.07257010787725449,0.9746,28.4,True
0,,1,0,50.0,0.1,16,1.1926965445664852,0.15202699601650238,0.1556033492088318,95.19999999999999,0.008607323873043105,0.07282347232103348,0.9736,27.7,True
0,,1,0,50.0,0.2,16,1.1965499353541846,0.151895672082901,0.15564128756523132,95.34,0.010658410495519605,0.0726952850818634,0.9738,29.5,True
0,,1,1,100.0,0.05,16,1.3069627990600967,0.1495359092950821,0.16132591664791107,95.38,0.009532936218380885,0.07030460238456726,0.9822,26.2,True
0,,1,1,100.0,0.1,16,1.31475284428493,0.14991359412670135,0.16258737444877625,95.39999999999999,0.008479858061671303,0.07016617804765701,0.982,26.9,True
0,,1,1,100.0,0.2,16,1.3166199004434764,0.14985737204551697,0.1627299189567566,95.42,0.008349041086435286,0.0701344683766365,0.9822,27.0,True
0,,1,1,25.0,0.05,16,1.301256268226887,0.14677807688713074,0.15794485807418823,95.46,0.00879325195252898,0.06897628307342529,0.983,26.2,True
0,,1,1,25.0,0.1,16,1.3087417860368231,0.14710472524166107,0.15909463167190552,95.5,0.008753095874190372,0.06884466111660004,0.983,27.0,True
0,,1,1,25.0,0.2,16,1.3109484417687645,0.14716464281082153,0.15938425064086914,95.52000000000001,0.008170729568600703,0.06883776932954788,0.983,27.5,True
0,,1,1,50.0,0.05,16,1.305676777487107,0.1491047441959381,0.16073793172836304,95.38,0.010157475650310522,0.07011950016021729,0.9822,26.3,True
0,,1,1,50.0,0.1,16,1.313299978064448,0.14945881068706512,0.1619751751422882,95.42,0.008405664473772029,0.06997165828943253,0.9818,27.0,True
0,,1,1,50.0,0.2,16,1.31505498692308,0.14944595098495483,0.16217033565044403,95.42,0.008769180297851559,0.06995338201522827,0.9822,27.6,True
