lambda,n_cells,id_rmse_mean,id_rmse_std,id_rmse_n,id_nll_mean,id_nll_std,id_nll_n,near_auroc_mean,near_auroc_std,near_auroc_n,mid_auroc_mean,mid_auroc_std,mid_auroc_n,far_auroc_mean,far_auroc_std,far_auroc_n,far_nll_mean,far_nll_std,far_nll_n
0.0,55,12.389245374399152,35.85519145102337,55,-0.32944452654231676,3.0772938387828526,55,0.806783622,0.13378188516298228,20,0.868120374,0.14717155353606215,20,0.9195998245454545,0.19103014998206205,55,1.91800317439166,1.9185990099249834,55
1e-05,55,16.823551862754606,43.89797719831195,55,0.03258967765352943,2.9391990290689702,55,0.80845246225,0.1312650351463919,20,0.876302404,0.13199864851664303,20,0.9234678284545454,0.17554384096436243,55,2.6583283229307697,1.8991360280541942,55
0.0001,55,13.570296753358774,37.38768950098406,55,-0.41203748001293705,3.1049223014793994,55,0.80493857675,0.12944905825216432,20,0.87519332475,0.13284339740398735,20,0.9267038732727273,0.18065574730690082,55,1.9014085269787095,1.889351298390726,55
0.0003,55,13.35676352451132,36.794324846435366,55,-0.4790057040073655,3.1368254057651486,55,0.8006846485,0.12754053306510438,20,0.8731272355,0.13311440132409127,20,0.9263869733636364,0.18198533525607036,55,1.7209950445727868,1.8677071121043778,55
0.001,55,12.793956465087831,36.21999170953093,55,-0.49801052510738375,3.1472480759522816,55,0.793379423,0.1253164273049712,20,0.8674768645,0.13360003150488228,20,0.9246177818181819,0.18315571569280065,55,1.8419816448014568,1.8444579523062672,55
0.003,55,12.593403304131193,36.028400945591684,55,-0.5073031747883017,3.1546781181963808,55,0.78412227775,0.12421605903786576,20,0.857033123,0.13540999792191274,20,0.922356368,0.184201447795058,55,2.081530419804833,2.0556186342535363,55
0.01,55,12.462269380959597,35.9352123771804,55,-0.5131308127533306,3.1611941057940443,55,0.772854256,0.12563697662145495,20,0.84056591625,0.14209318056186968,20,0.9167403743636363,0.1856672798574369,55,2.4101495945995506,2.5347161390201887,55
0.1,55,12.348493482705884,35.87721158940688,55,-0.509887156161395,3.1687345980813832,55,0.7549512780000001,0.13309197775405113,20,0.813447772,0.16219071753383876,20,0.8967197308181818,0.19600383815801126,55,2.918521764332598,3.1590164059311845,55
1.0,55,12.307644115210595,35.86069327583534,55,-0.4810408646410162,3.1609317261676635,55,0.7416554915,0.1372477406092099,20,0.798974734,0.1716918116227392,20,0.8832260498181818,0.2043049857172747,55,3.091967833042145,3.2326480607505883,55
