metric,n_pairs,mean_diff,median_diff,max_abs_diff,ci95_lo,ci95_hi,excludes_zero,higher_is_better,n_replicates,seed,direction,env_scope
rmse_id,15,-0.014392446478207905,-0.00021660327911376953,0.23548781871795654,-0.046799205193916955,0.0026393239448467888,False,False,10000,20260815,original minus zero,headline3
nll_id,15,-0.01913493120421966,4.673004150390625e-05,0.40255481004714966,-0.0777058468774582,0.014123984253965318,False,False,10000,20260815,original minus zero,headline3
nll_ood_near,15,-0.03134058800836404,0.0012848377227783203,0.2591337263584137,-0.08186210034725566,0.008078978766376772,False,False,10000,20260815,original minus zero,headline3
nll_ood_mid,15,-0.0355347465723753,-0.0003904104232788086,0.34338057041168213,-0.0854051465075463,-0.0036968279133240433,True,False,10000,20260815,original minus zero,headline3
nll_ood_far,15,-0.007262921333312989,-0.003616243600845337,0.06135964393615723,-0.01948510025938352,0.004835245609283441,False,False,10000,20260815,original minus zero,headline3
auroc_ood_far,15,-0.0018229266666667243,1.0129999999830552e-05,0.03509868500000002,-0.007670298750000043,0.0025251983166665994,False,True,10000,20260815,original minus zero,headline3
auroc_ood_near,15,0.0017458749999999708,5.4165000000105934e-05,0.044667809999999974,-0.005416508933333313,0.00979513254166661,False,True,10000,20260815,original minus zero,headline3
auroc_ood_mid,15,-0.00025771366666661836,1.2505000000051503e-05,0.030710659999999668,-0.006358599158333221,0.005457898591666689,False,True,10000,20260815,original minus zero,headline3
rmse_id,20,1.5693051524460315,0.00023156404495239258,18.28815460205078,-0.009791817013174295,3.6794434309937056,False,False,10000,20260815,original minus zero,all4
nll_id,20,0.28681425121612847,0.0005405545234680176,4.5015363693237305,-0.014329763317946345,0.7866731407761102,False,False,10000,20260815,original minus zero,all4
nll_ood_near,20,0.2157147609628737,0.002088397741317749,3.6043500900268555,-0.02530543821398169,0.6226618253090418,False,False,10000,20260815,original minus zero,all4
nll_ood_mid,20,0.12927671736106278,0.00017964839935302734,2.515500068664551,-0.038156838999129826,0.40771222968585785,False,False,10000,20260815,original minus zero,all4
nll_ood_far,20,0.07698351740837098,-0.0021593570709228516,1.6769614219665527,-0.03246705755591393,0.2578676262125373,False,False,10000,20260815,original minus zero,all4
auroc_ood_far,20,0.0060715879999999585,1.0217499999853885e-05,0.18573471999999996,-0.00976444851250005,0.029173701762499976,False,True,10000,20260815,original minus zero,all4
auroc_ood_near,20,0.005180020499999993,6.507250000009623e-05,0.06469564500000002,-0.002384373149999985,0.014077168312499971,False,True,10000,20260815,original minus zero,all4
auroc_ood_mid,20,0.014718693000000038,2.596999999993077e-05,0.27518964999999995,-0.0031197067499999487,0.044301661950000015,False,True,10000,20260815,original minus zero,all4
