env,seed,ridge_center,selected_size,val_nll,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_far,auroc_ood_near,auroc_ood_mid,spearman_ood_far
Ant-v5,0,zero,5.0,-1.823102355003357,0.5598758459091187,-1.7928357124328613,-0.05686962977051735,-0.11162827163934708,1.1702604293823242,0.9985979700000001,0.7902921100000001,0.860111235,
Ant-v5,0,original,5.0,-1.8228493928909302,0.5587774515151978,-1.7928048372268677,-0.053901802748441696,-0.11096583306789398,1.1386210918426514,0.9986080999999999,0.7900180349999999,0.860040225,
Ant-v5,10,zero,5.0,-1.2273980379104614,0.6457802057266235,-1.2122771739959717,-0.5256653428077698,-0.43109506368637085,0.943604052066803,0.9975856799999999,0.7915723849999999,0.8785986499999999,
Ant-v5,10,original,5.0,-1.2272367477416992,0.6458225250244141,-1.2122304439544678,-0.5233556032180786,-0.4292117655277252,0.931917130947113,0.9975409700000001,0.79168368,0.878611155,
Ant-v5,42,zero,5.0,-1.3791741132736206,0.7654690146446228,-1.3621721267700195,-0.6079778075218201,-0.4669986963272095,1.1166198253631592,0.9987776600000001,0.8982533599999999,0.932838195,
Ant-v5,42,original,5.0,-1.3790534734725952,0.765252411365509,-1.3619054555892944,-0.6060422658920288,-0.4633834660053253,1.1062006950378418,0.9987812100000001,0.89834061,0.9329731350000001,
Ant-v5,100,zero,5.0,-2.06128191947937,0.6294469237327576,-1.9703330993652344,-0.2761651873588562,-0.017128346487879753,1.154171347618103,0.9943405399999999,0.806225075,0.875912345,
Ant-v5,100,original,5.0,-2.0599615573883057,0.6298677325248718,-1.969200611114502,-0.2691256105899811,-0.013792775571346283,1.157331109046936,0.99437082,0.8060906199999999,0.8758059600000001,
Ant-v5,200,zero,5.0,-1.746566653251648,0.5655096173286438,-1.9700902700424194,-0.4711153209209442,-0.07784971594810486,1.0786652565002441,0.9987163250000001,0.79251857,0.881591615,
Ant-v5,200,original,5.0,-1.746282696723938,0.5644215941429138,-1.9692758321762085,-0.4688740670681,-0.08219389617443085,1.0687607526779175,0.9986966799999999,0.7920638149999999,0.881313695,
HalfCheetah-v5,0,zero,5.0,0.19586357474327087,1.5632410049438477,0.14971181750297546,1.6967151165008545,2.0492610931396484,1.8378006219863892,0.9921429300000001,0.76140366,0.9646908,
HalfCheetah-v5,0,original,5.0,0.19574181735515594,1.5630196332931519,0.14969094097614288,1.6956729888916016,2.049358367919922,1.8399559259414673,0.99217647,0.761391515,0.9646943950000001,
HalfCheetah-v5,10,zero,5.0,0.5796745419502258,2.019688129425049,0.6744014024734497,1.7946709394454956,2.3040361404418945,2.1603899002075195,0.98090213,0.66479473,0.920693355,
HalfCheetah-v5,10,original,5.0,0.16960877180099487,1.7842003107070923,0.27184659242630005,1.5500088930130005,2.21368670463562,2.0990302562713623,0.9770059799999999,0.70946254,0.939936625,
HalfCheetah-v5,42,zero,5.0,0.08857887238264084,1.628334403038025,0.08084709942340851,1.6075419187545776,2.215890884399414,1.8661904335021973,0.9861696700000001,0.7124348950000001,0.928941855,
HalfCheetah-v5,42,original,5.0,0.08853328973054886,1.6277697086334229,0.08082848787307739,1.6083829402923584,2.2161529064178467,1.8673624992370605,0.98623934,0.712430815,0.9289449250000001,
