r_target,variant,lambda,n_cal,M,seed,passes_id_gate,is_selected,near_auroc,near_fpr95,far_auroc,far_fpr95,ssb_hard_auroc,ninco_auroc,inaturalist_auroc,textures_auroc,openimage_o_auroc
0.125,P&C,1.0,16384,10,0,True,False,0.7454796646600664,0.7540899999999999,0.8643893503005792,0.4906066666666667,0.6982453269387755,0.7927140023813574,0.8854981980000001,0.8530203488372093,0.8546495040645283
0.125,uncorrected,1.0,16384,10,0,True,False,0.7450424537843794,0.7549699999999999,0.8641202379217914,0.49219999999999997,0.697515603265306,0.7925693043034528,0.8851666119999998,0.852807457364341,0.8543866444010334
0.25,P&C,1.0,16384,10,0,True,False,0.7461112576299246,0.7498199999999999,0.8647841048576285,0.4878066666666667,0.6985303873469388,0.7936921279129103,0.885823668,0.8531182325581395,0.8554104140147457
0.25,uncorrected,1.0,16384,10,0,True,False,0.7448564134546345,0.75213,0.8642083733348539,0.4906,0.6965930004081633,0.7931198265011057,0.8849666579999999,0.8528287751937985,0.8548296868107632
0.375,P&C,1.0,16384,10,0,not_in_stage_a,True,0.7471517064536173,0.74139,0.8653565396530779,0.48842,0.699143518367347,0.7951598945398877,0.8863334660000001,0.8531791550387597,0.8565569979204737
0.375,uncorrected,1.0,16384,10,0,not_in_stage_a,False,0.7447472830771928,0.7506200000000001,0.8644666379435858,0.4911266666666667,0.695530378367347,0.7939641877870386,0.8847290579999998,0.8529985891472869,0.8556722666834709
0.5,P&C,1.0,16384,10,0,True,False,0.7485376144380033,0.73472,0.8660192819654355,0.48634,0.7000206379591838,0.7970545909168227,0.886961076,0.8531504922480619,0.8579462776482449
0.5,uncorrected,1.0,16384,10,0,True,False,0.7446349755733482,0.74404,0.8648620237005721,0.4894866666666666,0.6942556085714285,0.7950143425752679,0.884410994,0.8533042635658914,0.8568708135358245
1.0,P&C,1.0,16384,10,0,False,False,0.7553611721219422,0.70663,0.8677562486066109,0.47955333333333333,0.7050485902040817,0.8056737540398027,0.889145426,0.8513983604651163,0.8627249593547167
1.0,uncorrected,1.0,16384,10,0,False,False,0.7414955096659157,0.72767,0.8652179311476017,0.48612666666666665,0.6846205481632653,0.7983704711685661,0.8800425600000003,0.8532997519379846,0.8623114815048207
2.0,P&C,1.0,16384,10,0,False,False,0.7632198156408663,0.6915899999999999,0.8642963670836991,0.5072666666666666,0.7128564946938775,0.8135831365878551,0.8868905220000002,0.8438848178294575,0.8621137614216396
2.0,uncorrected,1.0,16384,10,0,False,False,0.7175160462905672,0.72743,0.8377665498040784,0.4721,0.6481909155102039,0.7868411770709304,0.843152836,0.8259605193798449,0.8441862940323902
