prior_precision,top1,top5,nll,ece,brier,base_agreement,mean_pred_entropy
0.0001,0.0120849609375,0.0457763671875,15.164983730738118,0.09668308106157307,1.0402400781758767,0.01220703125,3.091744061705671
0.001,0.0115966796875,0.046142578125,15.089720568873329,0.09684545381213028,1.0400819853771845,0.01171875,3.0938592040053816
0.01,0.0123291015625,0.0478515625,14.896534707426596,0.0947662963654484,1.0393346283727314,0.0126953125,3.1020690317400383
0.1,0.0179443359375,0.0592041015625,13.606329457855368,0.07900682217496469,1.0331955327508036,0.0184326171875,3.163894308579672
1.0,0.0928955078125,0.166748046875,8.058489042373182,0.020325724232760307,1.0025377313964345,0.094482421875,3.411104439367981
10.0,0.804931640625,0.87939453125,2.271738803436455,0.6463238899285213,0.7541772512801741,0.8206787109375,3.841162638674674
100.0,0.9344482421875,0.991943359375,0.32565187793633305,0.11906069174351751,0.1190091662958003,0.9818115234375,1.0185386484319676
1000.0,0.9376220703125,0.99462890625,0.20653551952025465,0.01098171766629892,0.09066850738454586,0.9952392578125,0.24242678771498996
10000.0,0.9384765625,0.994873046875,0.206037013112765,0.009082823165173242,0.09067658127587427,0.9986572265625,0.19952007224123214
30000.0,0.938232421875,0.9947509765625,0.2062232118295773,0.0096821223477461,0.09074061426751186,0.9993896484375,0.19653623390166275
100000.0,0.9381103515625,0.9947509765625,0.20632166483599687,0.010083338506947629,0.09077321840645702,0.99951171875,0.19550710969430632
300000.0,0.9381103515625,0.9947509765625,0.206364244488214,0.010070291840020583,0.09078702203344971,0.9996337890625,0.19521893421584824
1000000.0,0.9381103515625,0.9947509765625,0.20638753188502312,0.010336525770828955,0.09079446693928289,0.9996337890625,0.19512139561724054
10000000.0,0.938232421875,0.9947509765625,0.20640498652780365,0.010237894596560113,0.09079997864439923,1.0,0.19508712570886275
100000000.0,0.938232421875,0.9947509765625,0.20641015734271745,0.010238068026462942,0.09080159809050589,1.0,0.19508505379168414
