environment,scod_far_auroc_mean,scod_near_auroc_mean,scod_mid_auroc_mean,scod_far_spearman_mean,scod_id_rmse_mean,scod_far_over_id_score_ratio_mean,scod_far_auroc_std,scod_near_auroc_std,scod_mid_auroc_std,scod_far_spearman_std,scod_id_rmse_std,scod_far_over_id_score_ratio_std,scod_n_seeds,pnc_far_auroc_mean,pnc_near_auroc_mean,pnc_mid_auroc_mean,pnc_far_spearman_mean,pnc_id_rmse_mean,pnc_far_auroc_std,pnc_near_auroc_std,pnc_mid_auroc_std,pnc_far_spearman_std,pnc_id_rmse_std,pnc_n_seeds,pnc_seedmatched_far_auroc_mean,pnc_seedmatched_far_auroc_std,pnc_seedmatched_n_seeds,pnc_minus_scod_far_auroc,pnc_wins_far
Pusher-v5,0.9946128733333334,,,0.6685890845933907,0.0496264286339283,19.146997158876804,0.006103019683683901,,,0.0457821141757845,0.007129264494192805,16.444911693502647,3,0.9999890646408839,,,0.8533471553259404,0.05466633415600867,5.8332853679080574e-05,,,0.033157546836647414,0.008956507925394156,26,0.9999731538095238,9.00932812409636e-05,3,0.005376191307550515,True
InvertedDoublePendulum-v5,0.92957711,,,0.8007280852415288,0.031414177268743515,70.87352540335783,0.10025131793246618,,,0.08899046950224852,0.028307845961533927,39.80153613875042,3,0.9957876985082873,,,0.9408273181899763,0.054039748112840826,0.0013253232765664815,,,0.06222721527863096,0.049587167512439766,26,0.9948484057142857,0.0010914245224834939,3,0.06621058850828732,True
Reacher-v5,0.8969044299999999,,,0.6560037897341109,0.09272570659716924,8.791969456509959,0.054609086130749336,,,0.07253423464627518,0.01834829673127393,0.5846289435659873,3,0.9926982751104972,,,0.8777291944724185,0.0886344873444151,0.001859625331563237,,,0.022242810926083663,0.009815743280232188,26,0.9924035380952381,0.0029049818735370344,3,0.09579384511049738,True
InvertedPendulum-v5,0.7873098766666667,,,0.5917671429964084,0.04886562035729488,8.792121237353802,0.04116178954235879,,,0.4122376111839331,0.04381995935562816,5.726247629871512,3,0.9129886207734806,,,0.7122816543287396,0.015594712504859746,0.12142299003637838,,,0.2185182580436491,0.008837739504699448,26,0.9165499538095238,0.1024879525280559,3,0.1256787441068139,True
HumanoidStandup-v5,0.660444,,,0.5098310530923392,25.2433344523112,10.41514467162544,0.04528219381095997,,,0.10040641443984698,5.198407986194578,6.603547667279146,3,0.913447530026738,,,0.7102310004874156,40.796257090441046,0.06125527546250649,,,0.09428277390921525,23.231189299488843,27,0.9016152971428572,0.0622308525613885,3,0.2530035300267379,True
Walker2d-v5,0.3827502233333333,,,0.1970346139684166,0.544440488020579,1.0133470561781543,0.09888176888972469,,,0.04377429102980854,0.023027123526634902,0.18310441770664057,3,0.9977983306417113,,,0.3539269411543445,0.6131657690287912,0.0013266748411903152,,,0.03904470567235886,0.028996616501136253,27,0.9987251495238095,0.0005402153630703491,3,0.615048107308378,True
HalfCheetah-v5,0.2911938,0.6172979700000001,0.2916524933333333,0.17035874654390917,1.2885387738545735,0.944760049540868,0.06486899226189735,0.05517393369678381,0.08982838362118978,0.028290676548427426,0.18414425665412057,0.18147737435833253,3,0.9872327264893617,0.861206403125,0.9826412641071428,0.2602496847543769,1.3376880129601092,0.015811845064655543,0.01934711788204528,0.005226214961801338,0.10684868286079482,0.13874184972079723,27,0.9886440214285714,0.007459921127099553,3,0.6960389264893616,True
Swimmer-v5,0.28590274666666665,,,0.3190800437281247,0.03376383831103643,1.006146354905249,0.15027566952712348,,,0.10725308479392896,0.006040532361620866,0.3940724836285212,3,0.9957327768983958,,,0.7224143567072442,0.06000641289162122,0.003822704785212851,,,0.12369892290702995,0.04738135904119594,27,0.996710310952381,0.003189085885149378,3,0.7098300302317291,True
Humanoid-v5,0.26666103703703703,0.5291637407407407,0.4895712962962963,0.7605403683563372,105.2565803527832,1.4972998171978933,0.021656960974956334,0.037042807238088525,0.10852843511528218,0.08809858814966032,96.77453243458059,0.8913198355261379,3,0.3426987065159574,0.5698808361428571,0.5221149857142857,0.7577844973867447,60.11801086588109,0.07489074237461465,0.02066774127467188,0.08042642559050454,0.05686844690501042,17.78906480288514,27,0.3427490364285714,0.10060781905501114,3,0.07603766947892038,True
Ant-v5,0.11016611333333332,0.3554425683333333,0.2877475166666667,0.14670301515919618,0.6833941141764323,0.49992342638834253,0.15285159141745966,0.13010195639456484,0.12035358973499143,0.012682729367717445,0.22784260670664516,0.49537623794853797,3,0.997931364920635,0.8621920027272727,0.9146715206493505,0.8474661563965717,0.6274325097048724,0.00108293782563564,0.02542596777988186,0.016439645203487032,0.04756129076552513,0.059915826969925284,27,0.9981324095238095,0.0006235840054754013,3,0.8877652515873016,True
Hopper-v5,0.02764583333333333,0.13154323666666667,0.1921083133333333,-0.09152047343136105,0.1669755478700002,0.3202839744748656,0.006414842852146367,0.019436325104330646,0.11620287117790173,0.023603778548641752,0.01727392941201888,0.055008042842680974,3,0.9800736061702128,0.8962125772321429,0.9470911104464286,0.638355088421674,0.18333544011445752,0.00977188810651525,0.015590107982254551,0.012848276963902939,0.0780170903275019,0.011009172950791613,27,0.9845308016666666,0.0020839862277887635,3,0.9524277728368794,True
