dataset,regime,maha,log_maha,leverage,jproj,rfrob,MI,logit_cov_tr,pred_ent
id_test,id,8.4010530485923,0.9243337271289214,0.3410487582872456,0.9125945738673579,0.6943658494187936,7.145382965783112e-05,0.4153574390816577,0.010558918294298903
id_test,id,8.794450936449813,0.9442087304018578,0.4137853616238771,0.6208439739952466,0.7111683954899056,9.76227614979501e-05,0.34683646590874984,0.007186848613684428
id_test,id,10.149134387267715,1.0064290031921135,0.28574044714720354,2.670949619730671,0.6961621396727845,0.2700789364795786,5.1745371677033045,1.3962198096673935
id_test,id,11.147347549855143,1.047171541728072,0.34096324119908805,1.4223598834782334,0.6742943597314868,0.001526519302680357,2.003926590425548,0.018470468150205508
id_test,id,10.832915837196644,1.034745369090478,0.3600810222744842,1.3950988016204715,0.6758209836359604,0.00013227939674628503,0.9049643302042725,0.005183107765851563
id_test,id,11.76168113365841,1.0704694012745328,0.4302126688825102,0.7739370432691199,0.7687796222664851,5.52639080134143e-05,0.3598619961715886,0.008868667933243474
id_test,id,12.100166107534392,1.0827913322606417,0.28560557383926943,0.8299755715344578,0.6329710533080047,0.00010124430324528338,0.4400316054095498,0.010452730834137046
id_test,id,9.22141600257643,0.9647976146893771,0.2751595918196965,1.0662968867398044,0.6474076310642076,0.0006271527187238779,0.8464908374651153,0.01992424826139467
id_test,id,11.326492746627213,1.0540954512442917,0.29688366690996043,0.674086069353566,0.64343356902849,5.351043319426832e-05,0.32292997671705836,0.008764269752787292
id_test,id,10.599664668144925,1.0252921261474535,0.5103186570673768,0.596865118943802,0.8515854350851724,5.6930142107466594e-05,0.2643055631300444,0.010778579078648556
id_test,id,10.002778386319017,1.0001206470686856,0.3336305940321731,0.6320264603880446,0.6753167743036946,0.00010366995311855524,0.4924353319144171,0.00890426977795312
id_test,id,9.693860209663692,0.9864967527319937,0.27915351238050956,0.6044507300111657,0.6458189528757513,8.503217207693481e-05,0.30433823428673246,0.008553806803648327
id_test,id,9.83427973819657,0.9927425577737,0.25045460911639045,1.0897570488995525,0.6112751592813371,2.9784394508455998e-05,0.7618283450840215,0.003054270935090947
id_test,id,13.647751636448232,1.1350611105799555,0.39819910466315145,1.6111450710198225,0.752483251539218,0.0005450278253657757,1.0935071735208912,0.019534959127015958
id_test,id,9.68219173528626,0.9859736787166247,0.4441656048844962,0.5932461753945899,0.8186425551311448,4.8980192891070855e-05,0.308995402413991,0.007012440072251814
id_test,id,11.550590176659833,1.0626041750812185,0.2529338766148561,1.2073480307719893,0.6506083729373473,0.0002930798104495147,0.6888529716296751,0.018157778306685097
id_test,id,8.715504198984606,0.9402925165105126,0.26172199854922057,1.8922868734744231,0.6064653461612901,0.027166267006313638,2.5726524793242103,0.2520883393023046
id_test,id,12.598395745936232,1.1003152464976738,0.3822898533490554,0.6592068777335237,0.6958484661620583,5.9768011113593526e-05,0.326772260972559,0.007866792800452268
id_test,id,8.493982204385803,0.929111346822915,0.32923489718625204,1.3152814849542696,0.6734796207853186,0.00018361366513973063,0.4414243952094192,0.016954197277595978
id_test,id,10.46573648242716,1.019769795449103,0.40292717789115895,1.2084348529032316,0.7503144670092425,0.0005467973014499153,0.9826561450620604,0.021589158635595483
id_test,id,12.542470673654925,1.0983830942841675,0.2928942400796425,1.1316628833433795,0.6662293997409715,0.00040771179645894204,0.729333245277986,0.02304476876477323
id_test,id,8.885375275651548,0.9486757750942902,0.31683323964841004,0.4517448871686448,0.6948526569038641,2.4150520474199022e-05,0.18758196532753907,0.006748671568031437
id_test,id,12.100288435315836,1.0827957227798666,0.27345532258690103,2.3291438239875184,0.6337539111468494,0.09453469822315586,3.023311603487714,0.6323496248876207
id_test,id,10.62187739566962,1.0262012842552948,0.41912706225538965,0.7232356983817504,0.7428444367567616,4.868601182139026e-05,0.3437076147313895,0.010934762246873503
id_test,id,10.262611801366091,1.0112579014196943,0.5380203189812811,0.6167717097081342,0.8620721346623399,2.281365721265062e-05,0.23849097601283764,0.004875719879017052
id_test,id,12.100918367529566,1.0828183312461852,0.4203922677201898,0.7040218890654323,0.7736428423197695,7.270765359574174e-05,0.33784097788278705,0.010252251060229459
