,layer_scope,near_auroc,mid_auroc,far_auroc
macro_avg_over_envs,first,0.7644321168948863,0.8151587100284091,0.9041487551495727
macro_avg_over_envs,multi,0.798908974125,0.8427279703494317,0.9216730839931365
pooled_over_rows,first,0.79232544765625,0.8542328434375,0.9033680910238908
pooled_over_rows,multi,0.82668730265625,0.8794472378125,0.9209191546416381
