sweep,value,is_default,env,seed,family,k,M,subset,lambda_reg,bootstrap_frac,layer_scope,perturbation_size,size_selected_by_valnll,rmse_val,nll_val,rmse_id,nll_id,nll_ood_near,nll_ood_mid,nll_ood_far,auroc_ood_near,auroc_ood_mid,auroc_ood_far,train_time,eval_time,block_scope
layer,single-block-L0,False,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,10.0,True,1.6504722833633425,0.1857118010520935,1.5534406900405884,0.135244607925415,3.711672782897949,2.3032007217407227,1.6469191312789917,0.7290770499999999,0.91873408,0.98829294,11.992689847946169,0.1583704948425293,single block
layer,"multi-block-L0,2*",True,HalfCheetah-v5,0,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6492201089859009,0.1794600784778595,1.5528628826141355,0.1308881342411041,3.435724973678589,2.225062847137451,1.6341228485107422,0.73245987,0.9269826,0.9889599799999998,12.019473791122437,0.3947978019714355,multi block
layer,single-block-L0,False,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,10.0,True,1.6197679042816162,0.1066101938486099,1.7623766660690308,0.7075541615486145,3.834306716918945,2.274235963821411,3.0238308906555176,0.6690217,0.888195425,0.973223025,12.423776149749756,0.1465320587158203,single block
layer,"multi-block-L0,2*",True,HalfCheetah-v5,10,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6159673929214478,0.1020267829298973,1.7610417604446411,0.4761899709701538,2.681538343429565,2.2240827083587646,2.212005138397217,0.676958965,0.89723277,0.97742987,13.720972537994385,0.2427752017974853,multi block
layer,single-block-L0,False,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6322325468063354,0.0481465198099613,1.6155520677566528,0.0448404066264629,3.5529727935791016,2.747922420501709,1.937739014625549,0.646387375,0.812832865,0.96516669,10.867302179336548,0.1353170871734619,single block
layer,"multi-block-L0,2*",True,HalfCheetah-v5,42,random,20,50,10000,0.0,0.1,multi,5.0,True,1.6341995000839231,0.0522034280002117,1.6163321733474731,0.0472726672887802,2.2922918796539307,2.5160930156707764,1.7762129306793213,0.665574565,0.8554177949999999,0.97738074,10.073894500732422,0.191697359085083,multi block
