environment,seed,factor,factor_value,factor_value_numeric,anchor_value,relative_to_anchor,status,error_message,git_commit,ridge_center,scale,subspace_dimension_K,ensemble_size_M,bootstrap_fraction,calibration_size,calibration_pool_size,per_member_calibration_size,unique_calibration_rows,feature_dimension_p,nominal_n_over_p,unique_n_over_p,layer_scope,direction_family,id_rmse,id_nll,id_total_variance,id_residual,near_rmse,near_nll,near_auroc,mid_rmse,mid_nll,mid_auroc,far_rmse,far_nll,far_auroc,far_spearman,construction_time_sec,gram_rank,gram_min_eig,gram_condition,normalized_ridge,mean_delta_w_norm,notes
Ant-v5,0,layer,first,1.0,2.0,0.5,ok,,70fb480,zero,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,first,random,0.6068515777587891,-2.246078491210937,0.7667002081871033,0.0319045613418276,0.8702807426452637,0.0545096881687641,0.8527595699999999,1.1244908571243286,0.197780892252922,0.895068085,4.180797576904297,1.1275980472564695,0.99765495,0.8308434357998821,0.3128149509429931,200,1.4116447054705586e-28,240060239.54751968,4.2125347326339627e-07,8.004220008850098,
Ant-v5,0,layer,multi,2.0,2.0,1.0,ok,,70fb480,zero,8.0,20,50,0.1,409,4096,409,389,201,2.0348258706467663,1.935323383084577,multi,random,0.6060355305671692,-2.2123353481292725,1.00085186958313,0.0319045613418276,0.8773607015609741,0.3100222051143646,0.8668258499999999,1.09101402759552,0.6205084323883057,0.901733435,3.028184175491333,1.143340229988098,0.99766426,0.8420367098669976,0.5653483867645264,200,1.4116447054705586e-28,240060239.54751968,4.2125347326339627e-07,8.004514694213867,
HalfCheetah-v5,0,layer,first,1.0,2.0,0.5,ok,,70fb480,zero,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,first,random,1.2009230852127075,-0.2937443554401397,1.3417606353759766,0.2357146282622624,2.939448595046997,10.168417930603027,0.8123203950000001,4.620923042297363,1.626476168632507,0.98438416,3.711841821670532,1.6951847076416016,0.98909636,0.1399835057987747,0.2588248252868652,201,11.485995849471443,5417462.265954841,1.722624865370183e-10,32.087554931640625,
HalfCheetah-v5,0,layer,multi,2.0,2.0,1.0,ok,,70fb480,zero,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,multi,random,1.2349040508270264,-0.2263799160718917,2.213470697402954,0.2357146282622624,3.05624794960022,1.3773444890975952,0.8599262750000001,4.548470973968506,1.6390327215194702,0.98168399,3.892178297042847,1.861107349395752,0.9931125200000002,0.2266777110695373,0.4608714580535888,201,11.485995849471443,5417462.265954841,1.722624865370183e-10,32.05339431762695,
Hopper-v5,0,layer,first,1.0,2.0,0.5,ok,,70fb480,zero,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,first,random,0.1750518977642059,-1.7207849025726318,0.0180396810173988,0.0718296209012462,0.3239316344261169,0.4309996962547302,0.816465085,0.3858780264854431,1.115669846534729,0.876190895,0.4252200722694397,0.7695178985595703,0.931625875,0.6729125344471816,0.2576625347137451,200,5.138636350031622e-26,81570389031.08185,1.1736784257854995e-09,32.08839797973633,
Hopper-v5,0,layer,multi,2.0,2.0,1.0,ok,,70fb480,zero,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,multi,random,0.1826747506856918,-1.5678486824035645,0.0276782512664794,0.0718296209012462,0.3204329013824463,-0.1282611042261123,0.911386645,0.382696270942688,0.2906031906604767,0.9570047,0.4656236171722412,0.3808276057243347,0.98498939,0.7734055020250156,0.4814951419830322,200,5.138636350031622e-26,81570389031.08185,1.1736784257854995e-09,32.05381393432617,
Humanoid-v5,0,layer,first,1.0,2.0,0.5,ok,,70fb480,zero,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,first,random,44.967132568359375,3.6792006492614746,105.9292221069336,1.6785921613233037,40.25125503540039,4.107572555541992,0.5677802200000001,31.511075973510746,3.775869607925415,0.51202635,30.960765838623047,3.608388662338257,0.407372155,0.7355980044994275,0.316307783126831,201,27.48344482138544,117796742.56711684,3.9951630579359735e-10,32.01327896118164,
Humanoid-v5,0,layer,multi,2.0,2.0,1.0,ok,,70fb480,zero,32.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,multi,random,44.93199157714844,3.665984630584717,106.49269104003906,1.6785921613233037,40.2397575378418,3.990221261978149,0.57007761,31.46385955810547,3.6826229095458975,0.52836352,30.840961456298828,3.5361313819885254,0.413674235,0.7330082419732765,0.6305623054504395,201,27.48344482138544,117796742.56711684,3.9951630579359735e-10,32.016258239746094,
Walker2d-v5,0,layer,first,1.0,2.0,0.5,ok,,70fb480,zero,16.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,first,random,0.5945408344268799,-0.9646831154823304,0.3010161519050598,0.1357435897907422,,,,,,,2.817805528640747,5.53648853302002,0.99032031,0.3616537906550476,0.2571351528167724,201,1.737349660226934,1579771.417753845,3.373944545065145e-07,16.043777465820312,
Walker2d-v5,0,layer,multi,2.0,2.0,1.0,ok,,70fb480,zero,16.0,20,50,0.3,1228,4096,1228,1061,201,6.109452736318408,5.278606965174129,multi,random,0.609591543674469,-0.8573675751686096,0.3474134802818298,0.1357435897907422,,,,,,,2.809175729751587,2.558436155319214,0.997906,0.3699223423876625,4.086237192153931,201,1.737349660226934,1579771.417753845,3.373944545065145e-07,16.026697158813477,
