prior_precision,top1,nll,ece
0.0001,0.9385986328125,6.610481958835122,0.9372472164716186
0.001,0.938720703125,6.094071746598183,0.9364327259308283
0.01,0.9383544921875,5.513926965069887,0.9341914676182057
0.1,0.937255859375,5.316669433373541,0.9321254775109082
1.0,0.9381103515625,5.025756994486914,0.9311956324531536
10.0,0.9383544921875,3.664820083653931,0.9099252732560217
100.0,0.9383544921875,1.033645685055995,0.5287425365817171
1000.0,0.938232421875,0.37420863929956494,0.1614565306881559
10000.0,0.938232421875,0.3280746432969681,0.12427971229817558
100000.0,0.938232421875,0.32385126665000563,0.12073526202857471
1000000.0,0.938232421875,0.3234329696978394,0.12038273375628705
10000000.0,0.938232421875,0.32339118031132175,0.12034750018892734
100000000.0,0.938232421875,0.32338698260659293,0.12034395854698232
1000000000.0,0.938232421875,0.3233865661172265,0.12034361010773861
10000000000.0,0.938232421875,0.3233865661172265,0.12034361010773861
