budget,max_loss_pp,r,realized_r,lambda,id_acc,id_nll,id_ece,base_agreement,near_auroc,near_fpr95,far_auroc,far_fpr95
strict,0.25,1.25,1.25,1000.0,80.968 ± 0.022,0.8120,0.0725,0.9857,75.59 ± 0.09,69.41,87.38 ± 0.06,46.31
primary,0.5,2.0,2.0,1000.0,80.830 ± 0.034,0.8045,0.0542,0.9736,76.49 ± 0.09,67.65,87.89 ± 0.12,44.97
relaxed,1.0,3.0,3.0,1000.0,80.598 ± 0.064,0.8173,0.0459,0.9612,77.27 ± 0.14,66.94,88.06 ± 0.13,44.52
MSP,,,,,81.068,0.8482,0.0913,1.0000,73.52,81.84,86.04,51.74
Energy,,,,,81.068,0.8482,0.0913,1.0000,62.39,93.16,78.96,85.29
ReAct+Energy,,,,,81.068,0.8482,0.0913,1.0000,69.21,84.23,85.61,53.90
