stage,r_target,r_realized_median,scale,n_cal,lambda,M,seed,top1,top5,nll,ece,brier,base_agreement,mean_pred_entropy,calib_residual,heldout_cls_residual,uncorrected_heldout_cls_residual,residual_ratio,gram_cond,member_top1_agreement,logit_mse_mean,logit_mse_median,logit_mse_p90,logit_mse_p95,logit_mse_p99,logit_mse_max,unc_logit_mse_mean,unc_logit_mse_median,unc_logit_mse_p99,frac_images_improved,passes_gate,gate_reasons,construct_s,eval_s,all_finite
B,0.25,0.24999989569187164,3.2820420265197754,16384,0.001,10,0,0.93798828125,0.994873046875,0.3245756860015535,0.12074616640578259,0.10641681286634115,0.9984130859375,1.3354454202864052,0.05601816615296322,0.10020510594933832,0.12481824354164907,0.802808172155556,,0.99661865234375,0.0011920621555023751,0.00047077487560018446,0.0033688222805918783,0.004984425719543237,0.008174295390274419,0.02234652245063675,0.0016577552737544713,0.0011161625607226783,0.007376117279838586,0.87064208984375,False,corrected_p99_not_better,6.130087096000352,0.8195609349968436,True
B,0.25,0.24999989569187164,3.2820420265197754,16384,1.0,10,0,0.9378662109375,0.994873046875,0.32450543403035426,0.12058039438727611,0.10639447189976342,0.9981689453125,1.3351088325948304,0.056765517637650545,0.09758753810684034,0.12481824354164907,0.7818371364461443,,0.996630859375,0.00113025483086359,0.00045965109323283155,0.0031779759446942083,0.004672148099875144,0.007613548490680423,0.0212819982736736,0.0016577552737544713,0.0011161625607226783,0.007376117279838586,0.89241943359375,False,corrected_p99_not_better,5.604926265001268,0.91800766400047,True
B,0.25,0.24999989569187164,3.2820420265197754,16384,100.0,10,0,0.938232421875,0.9947509765625,0.32475390111459124,0.12137723779317523,0.1064020572704157,0.9981689453125,1.3389579996979273,0.07025836971257761,0.09447567132518402,0.12481824354164907,0.7569059509610836,,0.99698486328125,0.0010245360460892324,0.0005390510733150908,0.002633013552988233,0.0036725878092627273,0.005762313817765585,0.016068374377778073,0.0016577552737544713,0.0011161625607226783,0.007376117279838586,0.99271240234375,True,,5.71239034500104,0.9622598969981482,True
B,0.25,0.24999989569187164,3.2820420265197754,32768,0.001,10,0,0.9383544921875,0.994873046875,0.3243615496277386,0.12096635431140208,0.10635043591104885,0.998291015625,1.334284436047894,0.06160274478882226,0.09078342765347161,0.12481824354164907,0.7273249893408347,,0.996875,0.000983107690057153,0.0004162745549022509,0.002744414178223636,0.0039687153642014375,0.006397136429006534,0.017010395674253196,0.0016577552737544713,0.0011161625607226783,0.007376117279838586,0.94635009765625,True,,6.527829919003125,0.8163111789981485,True
B,0.25,0.24999989569187164,3.2820420265197754,32768,1.0,10,0,0.938232421875,0.994873046875,0.3243441060624742,0.12083201493891667,0.10634420064434391,0.9981689453125,1.3341956475772263,0.06191850959086556,0.09023333660636283,0.12481824354164907,0.7229178527596727,,0.99693603515625,0.0009715241776214311,0.0004149750367854759,0.0027064164331998767,0.003907123827345088,0.006270673263265819,0.016895677078499375,0.0016577552737544713,0.0011161625607226783,0.007376117279838586,0.9519287109375,True,,5.711718717000622,0.9059831739978108,True
B,0.25,0.24999989569187164,3.2820420265197754,32768,100.0,10,0,0.9381103515625,0.9947509765625,0.32447627376078664,0.1209817454611079,0.10634367340146504,0.998291015625,1.3366111337942799,0.06860732582946814,0.0903260216369763,0.12481824354164907,0.7236604127251359,,0.9969970703125,0.000950374617694409,0.000472131773504434,0.0025055478336565608,0.003511796482442116,0.005524349876953777,0.015354674342581937,0.0016577552737544713,0.0011161625607226783,0.007376117279838586,0.9927001953125,True,,5.884447304000787,0.8587468350015115,True
B,0.375,0.37499968707561493,4.923062801361084,16384,0.001,10,0,0.9381103515625,0.9947509765625,0.3261850489805236,0.12168847374978728,0.10691938549042737,0.9976806640625,1.341643110909242,0.08280405221806146,0.14697965180556039,0.19224524251383174,0.7645424660898198,,0.99495849609375,0.0025955136721247532,0.0010252798698752645,0.007341163552391084,0.010858282616073226,0.0176725835453419,0.0493850242146742,0.0038362798569639366,0.002564336220327655,0.017264394962873006,0.89112548828125,False,corrected_p99_not_better,5.7356028859976504,0.7751722360007989,True
B,0.375,0.37499968707561493,4.923062801361084,16384,1.0,10,0,0.93798828125,0.9947509765625,0.3260294048216372,0.12146999050006649,0.10686937673206214,0.99755859375,1.3409041043159236,0.08383573150696899,0.14331757961344793,0.19224524251383174,0.7454935047515491,,0.99501953125,0.0024655100025107912,0.0009988148597771802,0.006926377622262252,0.010160150645635692,0.016487864838830076,0.04819805179975981,0.0038362798569639366,0.002564336220327655,0.017264394962873006,0.91168212890625,True,,5.492901944999176,0.7786795809988689,True
B,0.375,0.37499968707561493,4.923062801361084,16384,100.0,10,0,0.9383544921875,0.9947509765625,0.3265364865086189,0.1227689353808819,0.10686813012639895,0.997802734375,1.34932654880226,0.10407284263713841,0.13963762816506817,0.19224524251383174,0.7263515410792102,,0.99522705078125,0.0022568173547920607,0.0011771186250259722,0.00582245106519396,0.008122174100882803,0.012754120369671634,0.03869957292127306,0.0038362798569639366,0.002564336220327655,0.017264394962873006,0.99453125,True,,5.281773711001733,0.7456623050020426,True
B,0.375,0.37499968707561493,4.923062801361084,32768,0.001,10,0,0.93798828125,0.9947509765625,0.3256812800330958,0.12122238951820594,0.10676841830294459,0.998046875,1.338868509925371,0.09106632532974335,0.13329658590733143,0.19224524251383174,0.6933674101076439,,0.99522705078125,0.002143821313732604,0.0009039955758681705,0.0059868144657803015,0.008691066949265837,0.013912110075158734,0.039088585426418784,0.0038362798569639366,0.002564336220327655,0.017264394962873006,0.95799560546875,True,,5.973430475998612,0.7434525550015678,True
B,0.375,0.37499968707561493,4.923062801361084,32768,1.0,10,0,0.93798828125,0.9947509765625,0.32564338184987734,0.12119868580545819,0.1067545629473457,0.9979248046875,1.3386933822282359,0.09148622259739497,0.13250152679709593,0.19224524251383174,0.689231759727748,,0.9952880859375,0.0021187864367206224,0.0009009636340421303,0.005909179916100149,0.008537781028277125,0.013632980041714043,0.038803754337786586,0.0038362798569639366,0.002564336220327655,0.017264394962873006,0.96246337890625,True,,6.263108421997458,0.7543409270001575,True
B,0.375,0.37499968707561493,4.923062801361084,32768,100.0,10,0,0.9384765625,0.9947509765625,0.3259234927885454,0.12227987120454623,0.10674261416063079,0.9979248046875,1.3440510727651866,0.1015162498461313,0.13311669904286721,0.19224524251383174,0.6924316945491625,,0.9954345703125,0.0020846573867624495,0.0010274366720855058,0.005514762667848764,0.007729775533513139,0.012230690828144646,0.03674017800458827,0.0038362798569639366,0.002564336220327655,0.017264394962873006,0.9947509765625,True,,5.935458996002126,0.7392842359986389,True
B,0.5,0.4999997913837433,6.564084053039551,16384,0.001,10,0,0.9373779296875,0.99462890625,0.32842249748336166,0.12205175673579124,0.10764364304888638,0.996337890625,1.3499227958255102,0.10843110184750879,0.19076453147267655,0.2659633133156791,0.7172588169942558,,0.9930908203125,0.004436032953237079,0.0017540724759447525,0.012549889766940707,0.018543832626347012,0.03027406054759028,0.08356787333969556,0.007085815370282494,0.004696041403900338,0.032415567304573484,0.91424560546875,True,,5.117416900000535,0.7927368439995917,True
B,0.5,0.4999997913837433,6.564084053039551,16384,1.0,10,0,0.9373779296875,0.99462890625,0.3281599531336033,0.12189466084806858,0.10755835567080915,0.99658203125,1.348699837555771,0.10966344251637014,0.186309010974153,0.2659633133156791,0.7005064294450933,,0.99334716796875,0.004224305644151262,0.0017060823270897592,0.011881041378065754,0.017483840720597867,0.02833159620646016,0.08145412117141615,0.007085815370282494,0.004696041403900338,0.032415567304573484,0.931689453125,True,,4.9367240389983635,0.7695497300010175,True
B,0.5,0.4999997913837433,6.564084053039551,16384,100.0,10,0,0.9384765625,0.99462890625,0.328995333640092,0.12459456393456775,0.10753282661418756,0.99755859375,1.363209485572264,0.13657472866211962,0.18296087417263698,0.2659633133156791,0.6879177127541487,,0.9939453125,0.0039124088082310784,0.002019492784830825,0.010146630059512982,0.014158966477478763,0.02218189132879631,0.0713557423871626,0.007085815370282494,0.004696041403900338,0.032415567304573484,0.99617919921875,True,,4.7238562399979855,0.6601650820011855,True
B,0.5,0.4999997913837433,6.564084053039551,32768,0.001,10,0,0.93798828125,0.99462890625,0.3275277343787475,0.12205538098002373,0.10737870309787328,0.996826171875,1.3449422771422335,0.1192299876031673,0.17323940342381305,0.2659633133156791,0.6513657890033522,,0.993603515625,0.003671111337900676,0.001543686348518147,0.010255792709424427,0.014898510427353268,0.023801842539804493,0.06787251807317568,0.007085815370282494,0.004696041403900338,0.032415567304573484,0.969775390625,True,,5.365491883003415,0.6908087279989559,True
B,0.5,0.4999997913837433,6.564084053039551,32768,1.0,10,0,0.9378662109375,0.9947509765625,0.3274656700921972,0.12189832336905991,0.10735579695330048,0.9969482421875,1.344679509510478,0.11970899661493034,0.1722486515546764,0.2659633133156791,0.647640644144893,,0.993701171875,0.003629096764771247,0.001538673369731338,0.0101287016413608,0.014642968666589484,0.023292477020947472,0.06758400156389129,0.007085815370282494,0.004696041403900338,0.032415567304573484,0.97294921875,True,,5.556806033000612,0.6987654810000095,True
B,0.5,0.4999997913837433,6.564084053039551,32768,100.0,10,0,0.9383544921875,0.9945068359375,0.3279292107868687,0.12340586743173461,0.10731730930743784,0.99755859375,1.353969304684535,0.13303652154258616,0.17378216865844978,0.2659633133156791,0.6534065412705361,,0.99398193359375,0.0035953253320499742,0.0017588433592749466,0.009552613420400818,0.013437692390301311,0.021125326113982337,0.06742040540216737,0.007085815370282494,0.004696041403900338,0.032415567304573484,0.996240234375,True,,5.597136733002117,0.796957073998783,True
