stage,r_target,r_realized_median,scale,n_cal,lambda,M,seed,top1,top5,nll,ece,brier,base_agreement,mean_pred_entropy,calib_residual,heldout_cls_residual,uncorrected_heldout_cls_residual,residual_ratio,gram_cond,member_top1_agreement,logit_mse_mean,logit_mse_median,logit_mse_p90,logit_mse_p95,logit_mse_p99,logit_mse_max,unc_logit_mse_mean,unc_logit_mse_median,unc_logit_mse_p99,frac_images_improved,passes_gate,gate_reasons,construct_s,eval_s,all_finite
A,0.125,0.1249999925494194,1.7618895769119263,32768,0.001,5,0,0.9378662109375,0.99462890625,0.3236567888766715,0.12011922085629548,0.10614728724355002,0.9989013671875,1.3315989169588316,0.030911004421412563,0.04941859075678443,0.06603607560980664,0.7483574743112924,,0.9980712890625,0.0002707486579555015,0.00011147858154181422,0.0007456328787166943,0.0011143031774345621,0.0019224086243661285,0.004640587574285005,0.00044100937640972416,0.00028908555645859395,0.002101628053295738,0.9375732421875,True,,3.7297606140018615,0.4719510969989642,True
A,0.25,0.2499999850988388,3.5237791538238525,32768,0.001,5,0,0.9383544921875,0.99462890625,0.32454637618253934,0.12101803268084708,0.1064290497658041,0.998291015625,1.3345980555910983,0.06133033640917642,0.0971976276885417,0.13444241273830213,0.7229684867210843,,0.996728515625,0.0010561599341006335,0.0004326990700418304,0.0029283799937379817,0.004348763842460629,0.007496349794938882,0.019717358012640147,0.0017976051121465987,0.001170607111964342,0.008700775342501008,0.948193359375,True,,3.647924654000235,0.5118059819978953,True
A,0.5,0.4999999701976776,7.047558307647705,32768,0.001,5,0,0.9378662109375,0.99462890625,0.3280649371685582,0.12205173866096929,0.10761664865967308,0.995361328125,1.345609645218458,0.11873233782590054,0.18450083015955865,0.2892077744057255,0.6379525257876542,,0.9931884765625,0.003914203591042126,0.001590391518034028,0.010822133077181913,0.016128620359890822,0.027507944989268916,0.0770053650354204,0.0077502358781868785,0.004951936908518204,0.038812908824614314,0.970947265625,True,,3.7043229629998677,0.4690142930012371,True
A,1.0,0.9999999403953552,14.09511661529541,32768,0.001,5,0,0.9346923828125,0.9942626953125,0.34043691565411976,0.12325892393855568,0.1121514907637828,0.990234375,1.3776865462274712,0.21758419900698395,0.32279622169372435,0.7419677110862977,0.43505427105598155,,0.9864501953125,0.01287960001984494,0.005361631059333337,0.035719657743692054,0.05256421465845049,0.08685413757870945,0.22126749129302234,0.03971940565771835,0.02453104420364994,0.20664831935770323,0.9932373046875,False,top1_drop={0.354}pp,3.644086411000899,0.4656831449974561,True
A,2.0,1.9999998807907104,28.19023323059082,32768,0.001,5,0,0.9298095703125,0.9930419921875,0.36271949071111365,0.12052830291963579,0.12162339103872553,0.981201171875,1.3848904120645118,0.3565072155236061,0.4816675924751216,2.357227867807679,0.20433645768963893,,0.978076171875,0.033657508414273334,0.01590082745422574,0.0904268089613682,0.12567022522332696,0.20217795585006276,0.4975568883354883,0.2364205007564201,0.18533740955814826,0.8919060223734869,0.9997314453125,False,top1_drop={0.842}pp;agreement=0.9812,3.6990261469982215,0.4534863139997469,True
