role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,9527,16.21430778503418,16.214298735041872,0.38098907452907554,,
scatter,id,8229,6.673818588256836,6.673810481825174,0.08120949466822315,,
scatter,id,1453,11.738360404968262,11.738352843651128,0.11514170310238242,,
scatter,id,3492,7.1772541999816895,7.177248803817348,0.08452218209360982,,
scatter,id,9793,9.049391746520996,9.049386817060716,0.11727002545352594,,
scatter,id,6225,9.167874336242676,9.16787172628874,0.12226556746031203,,
scatter,id,9728,28.127094268798828,28.12710905271385,0.5090067589608642,,
scatter,id,2132,19.697519302368164,19.697523625728035,0.35532932182473864,,
scatter,id,1292,12.346200942993164,12.346199693874144,0.23017949586470593,,
scatter,id,6662,16.020658493041992,16.020658060586747,0.482230994506418,,
scatter,id,5969,9.512907028198242,9.512905030986142,0.1367155879454145,,
scatter,id,9227,14.583930015563965,14.583935530055639,0.32029962730775857,,
scatter,id,2553,17.308034896850586,17.30804861856504,0.2735044305528863,,
scatter,id,5696,18.90224838256836,18.902268616596785,0.402022308001467,,
scatter,id,1666,17.595001220703125,17.595023237495187,0.3349602441715785,,
scatter,id,4917,10.701712608337402,10.701720055784769,0.13618451881647484,,
scatter,id,1781,29.576004028320312,29.57605522898035,0.31356160788232246,,
scatter,id,6808,15.079656600952148,15.079678251680413,0.4054125051152795,,
scatter,id,2437,14.074947357177734,14.07496946596513,0.24356908160156482,,
scatter,id,6748,12.524508476257324,12.52452847496708,0.21244915463729572,,
scatter,id,1244,17.873916625976562,17.8739453765453,0.4448114889092094,,
scatter,id,9541,7.319104194641113,7.319110854743714,0.08782102850320615,,
scatter,id,9415,21.263927459716797,21.263962534266543,0.4436531023569112,,
scatter,id,8090,12.440913200378418,12.440926207896243,0.23584281364869925,,
scatter,id,1293,19.75468635559082,19.754708483582775,0.5270807832572836,,
scatter,id,6228,9.633011817932129,9.633017869078712,0.15579659937525628,,
scatter,id,6847,15.4352445602417,15.435255825874323,0.2839833571383914,,
scatter,id,6017,15.387622833251953,15.387633900256455,0.2883381665834375,,
scatter,id,1933,21.21062660217285,21.2106467695139,0.3505198882456564,,
scatter,id,7305,20.962255477905273,20.962274674950017,0.2931356755950697,,
scatter,id,3160,8.651345252990723,8.651345757361707,0.09605323881788433,,
scatter,id,1758,6.3047637939453125,6.304764596085637,0.08759041588626884,,
scatter,id,3722,15.807806015014648,15.80781806417564,0.3064354011986437,,
scatter,id,320,13.04463005065918,13.044641787351301,0.28445160934951347,,
scatter,id,5980,16.681955337524414,16.681969499115734,0.4643831111141422,,
scatter,id,3664,9.845839500427246,9.845842647888091,0.12594238007033656,,
scatter,id,2584,16.135316848754883,16.13532793341458,0.21446312890414068,,
scatter,id,9658,11.428333282470703,11.428339438318636,0.15441015547047435,,
scatter,id,2203,6.80679178237915,6.806793387789141,0.07607149666814891,,
scatter,id,9069,14.5479154586792,14.547924792658298,0.35186693849011197,,
scatter,id,4803,21.770404815673828,21.770418798523053,0.35635206642229167,,
scatter,id,5215,8.668252944946289,8.668254828190243,0.08835678228364408,,
