env,seed,regime,distance_mahal,disagreement_sqrt_predvar
Hopper-v5,0,id,24.43293037914474,0.1426639755659871
Hopper-v5,0,id,19.137346778643447,0.11642086478150734
Hopper-v5,0,id,15.994814228316457,0.1097108673815879
Hopper-v5,0,id,14.266016495372448,0.127985185131368
Hopper-v5,0,id,15.389671710359154,0.1716761902245703
Hopper-v5,0,id,14.844811377584008,0.18763502544084937
Hopper-v5,0,id,16.916522750041885,0.19174723516942782
Hopper-v5,0,id,16.17749497444212,0.21581958753369118
Hopper-v5,0,id,16.021171453192032,0.24722393823473388
Hopper-v5,0,id,18.252205153285026,0.2818552366166807
Hopper-v5,0,id,19.30917848772762,0.30213646448895465
Hopper-v5,0,id,15.324326906117333,0.312885833017751
Hopper-v5,0,id,14.801427672621422,0.31913120811511286
Hopper-v5,0,id,16.487094227433474,0.3192747448261028
Hopper-v5,0,id,19.277755981459567,0.2807926194145144
Hopper-v5,0,id,19.298257240194815,0.13435369921568588
Hopper-v5,0,id,14.811744718553141,0.08921574262671192
Hopper-v5,0,id,12.433469018764374,0.07433516068987304
Hopper-v5,0,id,13.12366496133254,0.07713905712031004
Hopper-v5,0,id,11.687613431418999,0.06838200058482859
Hopper-v5,0,id,11.583559018624769,0.07024662919225705
Hopper-v5,0,id,11.319878657972804,0.06440441501771446
Hopper-v5,0,id,13.518011159976078,0.09453232997088223
Hopper-v5,0,id,13.582088562022006,0.06574542103372746
Hopper-v5,0,id,12.953716641295038,0.06546645768187911
Hopper-v5,0,id,14.339428527129407,0.07022853314648575
Hopper-v5,0,id,14.061486051555482,0.06711409379003082
Hopper-v5,0,id,15.933171356486444,0.07579805271434521
Hopper-v5,0,id,13.136819848007821,0.06555648161563259
Hopper-v5,0,id,13.838390453557311,0.06855444323939093
Hopper-v5,0,id,12.649268054921864,0.06791644330855855
Hopper-v5,0,id,11.885444367222433,0.06495412544230664
Hopper-v5,0,id,12.16674394850172,0.06428882580939675
Hopper-v5,0,id,14.582270853052544,0.07152565144852549
Hopper-v5,0,id,13.375743920764068,0.0649744609375029
Hopper-v5,0,id,15.128000540877853,0.07074093097685137
Hopper-v5,0,id,15.765700604541104,0.07779020755645703
Hopper-v5,0,id,15.071703719810984,0.07919444117970385
Hopper-v5,0,id,16.86038311477163,0.09352172936009351
Hopper-v5,0,id,15.137394960615978,0.0851767063724808
Hopper-v5,0,id,14.184715980173367,0.091374806758765
Hopper-v5,0,id,13.252095432308277,0.09046452059437493
Hopper-v5,0,id,15.375765817294388,0.10022895854102261
Hopper-v5,0,id,13.663828784966622,0.10225655830996193
Hopper-v5,0,id,16.03499527710135,0.11652541285831264
Hopper-v5,0,id,17.37889317945409,0.11883863886631253
Hopper-v5,0,id,18.111561473185155,0.10019095190125828
Hopper-v5,0,id,13.95034672870379,0.1040144050922576
Hopper-v5,0,id,14.48927734663556,0.11327690494359886
Hopper-v5,0,id,13.559925709889354,0.1398832574372298
Hopper-v5,0,id,14.524064087621586,0.17905991256135992
Hopper-v5,0,id,17.793653050226556,0.2223302227738712
Hopper-v5,0,id,18.647086813015385,0.3073787309940636
Hopper-v5,0,id,21.213633180807367,0.5189763023647893
Hopper-v5,0,id,25.80663437385473,0.5948259743473723
Hopper-v5,0,id,28.647001281753315,0.282101336089719
Hopper-v5,0,id,20.341663433889277,0.17503783591857355
Hopper-v5,0,id,18.949642609468956,0.13411575304527418
Hopper-v5,0,id,16.864972167653463,0.13246012672529417
Hopper-v5,0,id,17.023844756283072,0.1404819423136942
Hopper-v5,0,id,15.21371317625202,0.1346677341694272
Hopper-v5,0,id,17.709931742540853,0.14252917873564552
Hopper-v5,0,id,18.813960543328733,0.1725903169393091
Hopper-v5,0,id,20.60641307944473,0.17376920151440728
Hopper-v5,0,id,18.054440633726863,0.15087556680977393
Hopper-v5,0,id,17.25710640662706,0.14665847604632182
Hopper-v5,0,id,15.144243524416973,0.13473244272364088
Hopper-v5,0,id,13.96134694426641,0.12845014306883085
Hopper-v5,0,id,14.495984073646905,0.12730703175561425
Hopper-v5,0,id,13.753513450935596,0.12332028334299781
Hopper-v5,0,id,15.33676093738429,0.13096420160358532
Hopper-v5,0,id,14.913044613206758,0.13554374680221173
Hopper-v5,0,id,14.433935502846706,0.15660633939107246
Hopper-v5,0,id,16.515477174796445,0.19500586280812435
Hopper-v5,0,id,17.532183747540092,0.2779364900701457
Hopper-v5,0,id,25.69881970936236,0.36912859538827264
Hopper-v5,0,id,23.7676885432535,0.23154278404843073
Hopper-v5,0,id,18.439618954965148,0.1573431281879643
Hopper-v5,0,id,15.112423894437466,0.14199349325385113
Hopper-v5,0,id,14.668732103471859,0.14241153312252094
Hopper-v5,0,id,14.47369711826831,0.1438463517885438
Hopper-v5,0,id,14.1247206544841,0.13823035968628852
Hopper-v5,0,id,15.090633255037195,0.13855986033511886
Hopper-v5,0,id,14.562461576208191,0.13764389917950778
Hopper-v5,0,id,14.719924072475692,0.1392058113563425
Hopper-v5,0,id,14.310078930719996,0.13894709958355456
Hopper-v5,0,id,14.021433215465189,0.12055284688055076
Hopper-v5,0,id,12.956350659640503,0.11462430375037486
Hopper-v5,0,id,14.233723795738328,0.1209352748380287
Hopper-v5,0,id,12.92200432689223,0.11682840004766519
Hopper-v5,0,id,13.05345608119428,0.10917321818912083
Hopper-v5,0,id,12.19423137297727,0.11212552333128097
Hopper-v5,0,id,11.458266257693484,0.11235945237053223
Hopper-v5,0,id,12.477150399871812,0.12376123781908142
Hopper-v5,0,id,12.384095636575976,0.1183098059743998
Hopper-v5,0,id,11.28458788239419,0.1270598329901202
Hopper-v5,0,id,11.677908001754442,0.13614894793211127
Hopper-v5,0,id,11.733073199326698,0.15002936160292218
Hopper-v5,0,id,12.087092172516146,0.1699566257502393
Hopper-v5,0,id,12.764847171878966,0.21148426225008882
Hopper-v5,0,id,12.210316714496951,0.2504123922280477
Hopper-v5,0,id,14.111391683832036,0.314374902129869
Hopper-v5,0,id,14.756454598603149,0.34607556857193467
Hopper-v5,0,id,20.43431397075465,0.3238304064478189
Hopper-v5,0,id,17.41714621865494,0.1807814036593695
Hopper-v5,0,id,19.208956745982725,0.16091808113976708
Hopper-v5,0,id,19.524050752292734,0.16486376419421456
Hopper-v5,0,id,19.625884674609907,0.1557980498033463
Hopper-v5,0,id,14.492004991936373,0.13243751321012134
Hopper-v5,0,id,19.262143998720028,0.14821941894462332
Hopper-v5,0,id,17.501835118787227,0.13906511775778257
Hopper-v5,0,id,14.441016385372633,0.12991986427425709
Hopper-v5,0,id,14.356593867792517,0.12624098505986328
Hopper-v5,0,id,14.418136280437126,0.13260700653053828
Hopper-v5,0,id,14.609326876625824,0.14080129275399042
Hopper-v5,0,id,14.438083353347379,0.15359223907363972
Hopper-v5,0,id,13.672140419251303,0.16825996703543974
Hopper-v5,0,id,15.522764068273991,0.20958944768373206
Hopper-v5,0,id,13.991043089799561,0.15409476285759002
Hopper-v5,0,id,11.00814063051474,0.12928009731082216
Hopper-v5,0,id,10.912397872606771,0.11749785176555518
Hopper-v5,0,id,12.665541298250847,0.11614952147477006
Hopper-v5,0,id,12.73943463360843,0.11922283150622004
Hopper-v5,0,id,10.124604803989598,0.13110500739756648
Hopper-v5,0,id,8.992599683090276,0.1598938443767426
Hopper-v5,0,id,8.404373008848957,0.22035114950335094
Hopper-v5,0,id,10.041988319540469,0.30398143975716485
Hopper-v5,0,id,13.314776038405368,0.3754867335412877
Hopper-v5,0,id,14.03855189078489,0.26409661732864975
Hopper-v5,0,id,12.18499296706055,0.27729713692966823
Hopper-v5,0,id,15.716020453932492,0.38867519128045996
Hopper-v5,0,id,12.07917826134347,0.4167938654182269
Hopper-v5,0,id,15.010755270878391,0.3922311378609532
Hopper-v5,0,id,12.733008958386419,0.2795946627783508
Hopper-v5,0,id,11.921253657160156,0.12301234865955524
Hopper-v5,0,id,11.320322732480948,0.09245529335661432
Hopper-v5,0,id,9.089002441570491,0.08280989107484855
Hopper-v5,0,id,14.619646583010091,0.08651860688633854
Hopper-v5,0,id,15.041528290767396,0.08405735482278254
Hopper-v5,0,id,9.717733156009833,0.07416563894375955
Hopper-v5,0,id,10.515706573890057,0.07683628041472565
Hopper-v5,0,id,10.020069116310125,0.07202679566018064
Hopper-v5,0,id,11.148013204233562,0.08116789747943941
Hopper-v5,0,id,14.56916887974898,0.08140058993378683
Hopper-v5,0,id,13.716454423386146,0.08948124959832039
Hopper-v5,0,id,10.606790208379035,0.07986641438067181
Hopper-v5,0,id,12.210361198869014,0.0973587894073125
Hopper-v5,0,id,11.473872075645257,0.08405441036527919
Hopper-v5,0,id,11.024451397603869,0.07476267581113641
Hopper-v5,0,id,11.125902060796813,0.0781473366277422
Hopper-v5,0,id,9.90623874612749,0.07904314309287822
Hopper-v5,0,id,10.914712243390552,0.07542069519804298
Hopper-v5,0,id,11.55452627759513,0.08806519655372713
Hopper-v5,0,id,10.58271661189916,0.07486691849489159
Hopper-v5,0,id,9.791285809272125,0.08129789735645022
Hopper-v5,0,id,10.670479044908634,0.07935445883932396
Hopper-v5,0,id,9.990751529149387,0.07722350283317936
Hopper-v5,0,id,10.213242455717733,0.08243398351450179
Hopper-v5,0,id,10.442483683632485,0.08319539864802783
Hopper-v5,0,id,8.621424173214846,0.08937257071508078
Hopper-v5,0,id,8.400020951291772,0.09395876627527681
Hopper-v5,0,id,8.983168087769734,0.093114136967946
Hopper-v5,0,id,9.958620984307165,0.10404968149834389
Hopper-v5,0,id,10.705934486673675,0.12804692843833493
Hopper-v5,0,id,9.870499197721678,0.13109510455153514
Hopper-v5,0,id,8.06311522444768,0.1453572781081573
Hopper-v5,0,id,8.402936339853412,0.19289061049209855
Hopper-v5,0,id,14.686224596115817,0.2950414453099891
Hopper-v5,0,id,17.777628890236958,0.38101987146886096
Hopper-v5,0,id,21.018945108317588,0.26434829978396107
Hopper-v5,0,id,17.526644560083373,0.115653874683906
Hopper-v5,0,id,14.050763607841073,0.09904408399540399
Hopper-v5,0,id,12.132180136124333,0.0898754022652931
Hopper-v5,0,id,10.607618147069436,0.07845928676061036
Hopper-v5,0,id,11.1705384650901,0.09044396965332858
Hopper-v5,0,id,11.78466790934873,0.08735846904700399
Hopper-v5,0,id,11.025886732513982,0.0886847541295291
Hopper-v5,0,id,13.826614864600849,0.0991031085454975
Hopper-v5,0,id,11.788287939653246,0.09806546304807968
Hopper-v5,0,id,11.067287865885293,0.0972348371289707
Hopper-v5,0,id,10.763070611698707,0.09575364667220555
Hopper-v5,0,id,8.986658208471521,0.09624456979401326
Hopper-v5,0,id,10.157276820999627,0.09993507393521851
Hopper-v5,0,id,11.917712223428957,0.11093497290217895
Hopper-v5,0,id,11.528064803548475,0.12241938462490436
Hopper-v5,0,id,12.032530922837134,0.14424250085814522
Hopper-v5,0,id,12.925849767795732,0.19640122241047184
Hopper-v5,0,id,11.349123429924674,0.17249638224519115
Hopper-v5,0,id,11.459738913900797,0.20650989637433606
Hopper-v5,0,id,18.11857160670439,0.1418731781027519
Hopper-v5,0,id,14.48049027990022,0.1026830252983103
Hopper-v5,0,id,13.429805262862788,0.09336706772238705
Hopper-v5,0,id,11.799722026900474,0.09722021988763312
Hopper-v5,0,id,11.263771234460227,0.09880617222077993
Hopper-v5,0,id,12.356206059069217,0.11446594778364962
Hopper-v5,0,id,12.594440939865153,0.14377773888025014
Hopper-v5,0,id,11.443835995351945,0.1970665181818318
Hopper-v5,0,id,11.842708716357873,0.28903857982743775
Hopper-v5,0,id,13.000138922421945,0.3931444931655646
Hopper-v5,0,id,12.74343649347041,0.4422892288354049
Hopper-v5,0,id,17.390125238691844,0.5293303475581997
Hopper-v5,0,id,20.070481100753785,0.2926840861494279
Hopper-v5,0,id,18.000552507856373,0.1671483720465931
Hopper-v5,0,id,13.692517486034046,0.11450620696212387
Hopper-v5,0,id,10.38372979116441,0.0922909739845422
Hopper-v5,0,id,9.841723485165828,0.0873668827812941
Hopper-v5,0,id,9.606873233000224,0.08260282003769044
Hopper-v5,0,id,9.91418994009685,0.08417538611979478
Hopper-v5,0,id,8.496623967719716,0.08189376879372855
Hopper-v5,0,id,7.154971930464441,0.08760949313205288
Hopper-v5,0,id,8.468389361769395,0.07732041421131769
Hopper-v5,0,id,6.6303846096897,0.08440166864316258
Hopper-v5,0,id,6.835918051370723,0.08202054033305003
Hopper-v5,0,id,6.888963074254849,0.08212044385387861
Hopper-v5,0,id,8.656898427199323,0.08085933088679192
Hopper-v5,0,id,6.33531040492037,0.08136463652085543
Hopper-v5,0,id,7.169673283261234,0.07946340194374495
Hopper-v5,0,id,9.846681453973677,0.10205038426518226
Hopper-v5,0,id,10.010329461108528,0.0817334440297171
Hopper-v5,0,id,9.52105231898362,0.07982744254277668
Hopper-v5,0,id,11.581247882957484,0.08828471364763181
Hopper-v5,0,id,8.450986069258105,0.07947188394583284
Hopper-v5,0,id,10.892651639108774,0.09180982985291494
Hopper-v5,0,id,9.64195268656013,0.08526235584453212
Hopper-v5,0,id,8.701284575748947,0.08492718223352115
Hopper-v5,0,id,9.280313151166942,0.095406207937112
Hopper-v5,0,id,9.084624556313154,0.10191891560343672
Hopper-v5,0,id,8.404791892792975,0.09693466145198165
Hopper-v5,0,id,10.928864083670891,0.10022832668636088
Hopper-v5,0,id,23.283915357553386,0.12642585123815417
