env,method,seed,train_time_s,eval_time_s,file
Hopper-v5,PnC(bf0.1),42,11.445406913757324,0.47383642196655273,pjsvd_multi_least_squares_random_projected_residual_prob_bf0.1_k20_n50_ps5.0-10.0-20.0-50.0_h200-200-200-200_act-relu_seed42.json
Hopper-v5,DeepEnsemble,0,1535.4065260887146,0.8154833316802979,standard_ensemble_vcal_n50_h200-200-200-200_act-relu_seed0.json
Hopper-v5,DeepEnsemble,10,1544.3290314674377,0.28032732009887695,standard_ensemble_vcal_n50_h200-200-200-200_act-relu_seed10.json
Hopper-v5,DeepEnsemble,42,151.74384379386902,0.6542060375213623,standard_ensemble_vcal_n5_h200-200-200-200_act-relu_seed42.json
Hopper-v5,SWAG,0,69.11503839492798,0.9855248928070068,swag_vcal_n100_h200-200-200-200_act-relu_seed0.json
Hopper-v5,SWAG,10,70.63495373725891,1.0891382694244385,swag_vcal_n100_h200-200-200-200_act-relu_seed10.json
Hopper-v5,SWAG,42,69.87724041938782,1.1109488010406494,swag_vcal_n100_h200-200-200-200_act-relu_seed42.json
Hopper-v5,Laplace,0,29.055299520492554,2.10545015335083,laplace_priors1.0-10.0-100.0-1000.0-10000.0-100000.0_n100_h200-200-200-200_act-relu_seed0.json
Hopper-v5,Laplace,10,27.958880186080933,2.3021297454833984,laplace_priors1.0-10.0-100.0-1000.0-10000.0-100000.0_n100_h200-200-200-200_act-relu_seed10.json
Hopper-v5,Laplace,42,32.041438579559326,2.2070889472961426,laplace_priors1.0-10.0-100.0-1000.0-10000.0-100000.0_n100_h200-200-200-200_act-relu_seed42.json
Hopper-v5,MCDropout,0,28.780028581619263,1.317206621170044,mc_dropout_vcal_n100_dr0.05_h200-200-200-200_act-relu_seed0.json
Hopper-v5,MCDropout,10,35.8170747756958,1.476912021636963,mc_dropout_vcal_n100_dr0.05_h200-200-200-200_act-relu_seed10.json
Hopper-v5,MCDropout,42,34.010538816452026,1.3835654258728027,mc_dropout_vcal_n100_dr0.05_h200-200-200-200_act-relu_seed42.json
