env,pnc_construction_total_s,deep_ensemble_M50_construction_total_s,swag_construction_total_s,laplace_construction_total_s,single_base_train_s,de_over_pnc_ratio,pnc_base_train_s,pnc_posthoc_build_s,pnc_minimal_ckpt_mb,pnc_storage_mb,de_storage_mb,device,n_trained_nets_de
Ant-v5,18.352809258998604,1131.9364989720016,41.64565021300223,14.76912576099494,21.34685642000113,61.67647050638852,16.605422835000354,1.7473864239982504,0.758,29.342,37.122,NVIDIA TITAN X (Pascal),50
HalfCheetah-v5,26.9866717440018,1321.8538402630002,61.89653158400324,26.591206610999507,25.90301170800012,48.98172893650001,25.470064295001063,1.5166074490007304,0.545,25.529,26.447,NVIDIA TITAN X (Pascal),50
Hopper-v5,27.336519563996266,1279.332205329003,60.27140414899986,26.061366829999315,25.22448648900172,46.799381403840286,25.60328501099866,1.733234552997601,0.528,25.152,25.604,NVIDIA TITAN X (Pascal),50
