env,batch,batch_size,method,n_forward,M,mean_ms,median_ms,std_ms
Ant-v5,batch1,1,single_base,1,1,0.6595543015282601,0.24419999681413174,0.5120652699629908
Ant-v5,batch1,1,deep_ensemble_ref,50,50,1.339825379254762,1.3439260073937476,0.13387139022760058
Ant-v5,batch1000,1000,single_base,1,1,1.267561049608048,1.2616544991033152,0.05349509566394071
Ant-v5,batch1000,1000,deep_ensemble_ref,50,50,3.6490242611034773,3.505570493871346,0.3765223961390071
