factor,cell_key,seed,status,id_acc,id_nll,id_ece,val_nll,posthoc_temperature,near_auroc,near_fpr95,far_auroc,far_fpr95,ps,K,M,subset_size,chunk_size,lambda_reg,bootstrap_frac,stage_idx,block_idx,runtime_sec,start_utc,end_utc,output_path,note
ridge,ridge_lam1,1,ok,95.57999968528748,0.13896511495113373,0.004402400785684586,0.13296136260032654,0.7889991790468855,91.656289,33.155,95.10726489835642,17.665,25,20,50,1024,1024,1.0,0.05,3,0,840.6,2026-07-24T07:15:08.117664+00:00,2026-07-24T07:29:08.672284+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam1_seed1.json,
block,block_s1b0,1,ok,95.24999856948853,0.15305614471435547,0.007309435719251633,0.14750343561172485,1.2027970969481452,89.2261,47.415,91.19012401880991,29.39,25,20,50,1024,16,0.001,0.05,1,0,865.0,2026-07-24T07:29:08.779044+00:00,2026-07-24T07:43:33.804821+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_block_s1b0_seed1.json,
block,block_s2b1,1,ok,94.72999572753906,0.1565089374780655,0.0055665055856108665,0.15601138770580292,1.125918420187261,89.3151595,39.71,92.78389020721033,25.247500000000002,25,20,50,1024,16,0.001,0.05,2,1,872.8,2026-07-24T07:43:33.917387+00:00,2026-07-24T07:58:06.694429+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_block_s2b1_seed1.json,
scale,scale_ps6.25,2,ok,95.47999501228333,0.14628534018993378,0.011486398363113404,0.13860772550106049,1.2832277151750562,88.53693925,60.065000000000005,91.85016982021963,35.7525,6.25,20,50,1024,1024,0.001,0.05,3,0,875.2,2026-07-24T07:58:10.023146+00:00,2026-07-24T08:12:45.211266+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps6.25_seed2.json,
scale,scale_ps12.5,2,ok,95.49999833106995,0.142316535115242,0.01032180842757225,0.13474026322364807,1.166749410930951,89.77721925,46.155,93.00206802716951,26.787499999999998,12.5,20,50,1024,1024,0.001,0.05,3,0,832.7,2026-07-24T08:12:45.301748+00:00,2026-07-24T08:26:37.961167+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps12.5_seed2.json,
scale,scale_ps25.0,2,ok,95.35999894142151,0.14172188937664032,0.005751351289451122,0.13226202130317688,0.7617876034725052,91.51803249999999,32.515,94.46816341397877,19.587500000000002,25,20,50,1024,1024,0.001,0.05,3,0,832.9,2026-07-24T08:26:38.055959+00:00,2026-07-24T08:40:30.943927+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps25.0_seed2.json,
scale,scale_ps50.0,2,ok,26.829999685287476,1.7143683433532715,0.2950574370741844,1.715109944343567,0.8787171053280449,57.25097775,93.17999999999999,66.46651530783008,80.82750000000001,50,20,50,1024,1024,0.001,0.05,3,0,848.7,2026-07-24T08:40:31.038713+00:00,2026-07-24T08:54:39.703799+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps50.0_seed2.json,
scale,scale_ps100.0,2,ok,9.999999403953552,3.790792942047119,0.6795149457931519,3.8187451362609863,99.99993582370774,62.923920499999994,87.825,76.85663577407294,68.1675,100,20,50,1024,1024,0.001,0.05,3,0,844.7,2026-07-24T08:54:39.803024+00:00,2026-07-24T09:08:44.473186+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps100.0_seed2.json,
rank,rank_k1,2,ok,95.31999826431274,0.15460337698459625,0.0069539543777704235,0.14360752701759338,0.8584153736898618,90.8371445,35.050000000000004,93.6344524791435,22.542499999999997,25,1,50,1024,1024,0.001,0.05,3,0,832.2,2026-07-24T09:08:44.584194+00:00,2026-07-24T09:22:36.770187+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k1_seed2.json,
rank,rank_k2,2,ok,95.24999856948853,0.14711911976337433,0.00724860865175724,0.1349479854106903,0.8025265808453663,91.14426399999999,33.165,94.04538702216311,21.11,25,2,50,1024,1024,0.001,0.05,3,0,822.2,2026-07-24T09:22:36.859529+00:00,2026-07-24T09:36:19.019663+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k2_seed2.json,
rank,rank_k5,2,ok,95.39999961853027,0.14269521832466125,0.004982675372064114,0.13411347568035126,0.7796581304669693,91.3640885,32.64,94.60602364658335,19.615,25,5,50,1024,1024,0.001,0.05,3,0,841.5,2026-07-24T09:36:19.125493+00:00,2026-07-24T09:50:20.598431+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k5_seed2.json,
rank,rank_k40,2,ok,95.35999894142151,0.14184334874153137,0.005570271886885166,0.13347013294696808,0.7660051778501946,91.55659849999999,32.28,94.6168025968655,19.392500000000002,25,40,50,1024,1024,0.001,0.05,3,0,838.8,2026-07-24T09:50:20.701166+00:00,2026-07-24T10:04:19.482701+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k40_seed2.json,
calib,calib_ss256,2,ok,95.33999562263489,0.14364276826381683,0.004507009151577949,0.13148997724056244,0.7084599667160749,91.58131974999999,32.34,94.74778719388793,19.0225,25,20,50,256,1024,0.001,0.05,3,0,843.1,2026-07-24T10:04:19.586654+00:00,2026-07-24T10:18:22.664699+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss256_seed2.json,
calib,calib_ss512,2,ok,95.33999562263489,0.1429324746131897,0.00656538573205471,0.1322178989648819,0.7394465250998445,91.57244500000002,32.39,94.545018994883,19.39,25,20,50,512,1024,0.001,0.05,3,0,840.7,2026-07-24T10:18:22.763826+00:00,2026-07-24T10:32:23.505027+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss512_seed2.json,
calib,calib_ss2048,2,ok,41.62999987602234,0.9637673497200012,0.20834177196323872,0.9731796383857727,0.5026589936319485,54.25554025,95.81,57.54544724514618,94.85,25,20,50,2048,1024,0.001,0.05,3,0,845.4,2026-07-24T10:32:23.611491+00:00,2026-07-24T10:46:29.038777+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss2048_seed2.json,
calib,calib_ss4096,2,ok,93.4399962425232,0.2562468647956848,0.06076767128109932,0.2594200074672699,0.40365113648022927,89.5700665,41.585,94.00330291241494,20.064999999999998,25,20,50,4096,1024,0.001,0.05,3,0,841.9,2026-07-24T10:46:29.145823+00:00,2026-07-24T11:00:31.033113+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss4096_seed2.json,
ridge,ridge_lam0,2,ok,9.999999403953552,3.784445285797119,0.6742058737158775,3.8119237422943115,99.99993582370774,68.91728975,78.95,83.66594985038,52.345,25,20,50,1024,1024,0.0,0.05,3,0,833.5,2026-07-24T11:00:31.134414+00:00,2026-07-24T11:14:24.669559+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0_seed2.json,
ridge,ridge_lam0.0001,2,ok,93.15999746322632,0.2662353217601776,0.05348063083589077,0.2707868814468384,0.3042639933955419,90.20162174999999,37.08,94.50118144823229,19.0675,25,20,50,1024,1024,0.0001,0.05,3,0,830.4,2026-07-24T11:14:24.772367+00:00,2026-07-24T11:28:15.159778+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.0001_seed2.json,
ridge,ridge_lam0.01,2,ok,95.37999629974365,0.1415540874004364,0.005734437826275826,0.13128221035003662,0.786593580167367,91.42861425,33.06,94.43670427583291,19.695,25,20,50,1024,1024,0.01,0.05,3,0,830.4,2026-07-24T11:28:15.265582+00:00,2026-07-24T11:42:05.685994+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.01_seed2.json,
ridge,ridge_lam0.1,2,ok,95.36999464035034,0.14156784117221832,0.005848604074120522,0.13126038014888763,0.7871842866249356,91.42896350000001,33.040000000000006,94.44925572397148,19.685,25,20,50,1024,1024,0.1,0.05,3,0,835.8,2026-07-24T11:42:05.788423+00:00,2026-07-24T11:56:01.577795+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam0.1_seed2.json,
ridge,ridge_lam1,2,ok,95.35999894142151,0.1415254920721054,0.006722752973437309,0.13121865689754486,0.792259167498751,91.43596974999998,33.08,94.45827127452519,19.63,25,20,50,1024,1024,1.0,0.05,3,0,824.7,2026-07-24T11:56:01.676899+00:00,2026-07-24T12:09:46.386004+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_ridge_lam1_seed2.json,
block,block_s1b0,2,ok,95.10999917984009,0.151490718126297,0.007382904228568077,0.15337719023227692,1.2407860520799256,89.38615125,45.58,91.43740653248811,30.112499999999997,25,20,50,1024,16,0.001,0.05,1,0,870.7,2026-07-24T12:09:46.492421+00:00,2026-07-24T12:24:17.193482+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_block_s1b0_seed2.json,
block,block_s2b1,2,ok,94.58999633789062,0.1626633256673813,0.004996960464119911,0.15452741086483002,1.1481967780437634,89.27233775,39.345,91.80278636249983,27.190000000000005,25,20,50,1024,16,0.001,0.05,2,1,862.5,2026-07-24T12:24:17.316143+00:00,2026-07-24T12:38:39.857721+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_block_s2b1_seed2.json,
scalex,scale_ps18.75,0,ok,95.84999680519104,0.1324387490749359,0.008027328997850419,0.12537486851215363,0.9963447817118047,90.81095124999999,37.655,95.05940072887924,19.325,18.75,20,50,1024,1024,0.001,0.05,3,0,7991.8,2026-07-25T23:35:29.631406+00:00,2026-07-26T01:48:41.438017+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps18.75_seed0.json,
scalex,scale_ps31.25,0,ok,95.30999660491943,0.16698943078517914,0.020348790088295935,0.16297541558742523,0.384398336818546,90.93625725,37.685,95.5030557022726,16.609999999999996,31.25,20,50,1024,1024,0.001,0.05,3,0,857.4,2026-07-26T01:50:22.621814+00:00,2026-07-26T02:04:40.057739+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps31.25_seed0.json,
scalex,scale_ps37.5,0,ok,10.009999573230743,2.289116621017456,0.05001654289737344,2.290804862976074,37.24918738903611,62.628378000000005,85.13,49.97780667293609,91.8,37.5,20,50,1024,1024,0.001,0.05,3,0,812.0,2026-07-26T02:04:40.149907+00:00,2026-07-26T02:18:12.145842+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps37.5_seed0.json,
boot,boot_bf0.01,0,ok,95.83999514579773,0.13617399334907532,0.004604844582080841,0.12505431473255157,0.7006044912084368,91.3801085,33.565,95.71570712020502,17.125,25,20,50,1024,1024,0.001,0.01,3,0,811.8,2026-07-26T02:18:12.239009+00:00,2026-07-26T02:31:44.073685+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.01_seed0.json,
boot,boot_bf0.03,0,ok,95.85999846458435,0.13485629856586456,0.005523505298793316,0.12447711825370789,0.74474261374483,91.40706625000001,33.765,95.70453336054752,17.2375,25,20,50,1024,1024,0.001,0.03,3,0,822.4,2026-07-26T02:31:44.170271+00:00,2026-07-26T02:45:26.561406+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.03_seed0.json,
boot,boot_bf0.07,0,ok,95.46999931335449,0.15851454436779022,0.015260210256278516,0.15405085682868958,0.5067400108934859,90.36369475000001,41.675000000000004,94.93782675080315,18.36,25,20,50,1024,1024,0.001,0.07,3,0,819.2,2026-07-26T02:45:26.660575+00:00,2026-07-26T02:59:05.881271+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.07_seed0.json,
boot,boot_bf0.1,0,ok,90.88000059127808,0.37128549814224243,0.1127354821562767,0.3768477141857147,0.3849954943844416,81.85152450000001,68.805,82.4502535108568,58.197500000000005,25,20,50,1024,1024,0.001,0.1,3,0,809.5,2026-07-26T02:59:05.984170+00:00,2026-07-26T03:12:35.514700+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.1_seed0.json,
scalex,scale_ps18.75,1,ok,95.6499993801117,0.13776426017284393,0.007123592382669449,0.1336931437253952,0.9965649532836955,91.0118215,36.425,94.3622300372591,19.7925,18.75,20,50,1024,1024,0.001,0.05,3,0,856.5,2026-07-26T03:12:38.781558+00:00,2026-07-26T03:26:55.309993+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps18.75_seed1.json,
scalex,scale_ps31.25,1,ok,94.85999941825867,0.2001146674156189,0.04013122381865978,0.20343969762325287,0.33239669136797095,90.5574835,39.96,93.6598777623743,20.72,31.25,20,50,1024,1024,0.001,0.05,3,0,809.7,2026-07-26T03:26:55.405491+00:00,2026-07-26T03:40:25.112487+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps31.25_seed1.json,
scalex,scale_ps37.5,1,ok,9.969999641180038,2.3073484897613525,0.07706686276420951,2.308104991912842,99.99035184183927,65.45347525,79.595,54.46991526072657,88.03,37.5,20,50,1024,1024,0.001,0.05,3,0,808.4,2026-07-26T03:40:25.211819+00:00,2026-07-26T03:53:53.568040+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps37.5_seed1.json,
boot,boot_bf0.01,1,ok,95.55999636650085,0.14209681749343872,0.004085310161113739,0.13492430746555328,0.7138406560544029,91.72921725,33.315,95.35845710473254,16.9975,25,20,50,1024,1024,0.001,0.01,3,0,816.3,2026-07-26T03:53:53.665524+00:00,2026-07-26T04:07:29.930732+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.01_seed1.json,
boot,boot_bf0.03,1,ok,95.62000036239624,0.14024759829044342,0.004301316574215889,0.1335381418466568,0.7401126178545906,91.72364375,33.02,95.22994511458947,17.44,25,20,50,1024,1024,0.001,0.03,3,0,820.1,2026-07-26T04:07:30.030214+00:00,2026-07-26T04:21:10.107990+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.03_seed1.json,
boot,boot_bf0.07,1,ok,95.4099953174591,0.16176645457744598,0.016953502637147903,0.16420431435108185,0.5387542664971589,90.93600724999999,39.27,93.99699658103667,20.3975,25,20,50,1024,1024,0.001,0.07,3,0,817.8,2026-07-26T04:21:10.208183+00:00,2026-07-26T04:34:48.014418+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.07_seed1.json,
boot,boot_bf0.1,1,ok,53.97999882698059,0.8806464672088623,0.08772511722445488,0.8837725520133972,0.42237212932225804,62.21870549999999,96.22,65.75494804464608,91.18499999999999,25,20,50,1024,1024,0.001,0.1,3,0,813.0,2026-07-26T04:34:48.116376+00:00,2026-07-26T04:48:21.142874+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.1_seed1.json,
scalex,scale_ps18.75,2,ok,95.42999863624573,0.14030706882476807,0.009187705956399441,0.1317145675420761,0.9956747785628564,90.85712175,36.04,93.85642375868053,21.6325,18.75,20,50,1024,1024,0.001,0.05,3,0,860.0,2026-07-26T04:48:23.447651+00:00,2026-07-26T05:02:43.438248+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps18.75_seed2.json,
scalex,scale_ps31.25,2,ok,94.79999542236328,0.17680624127388,0.021740028631687166,0.17508530616760254,0.37645881723886093,91.0994415,35.8,94.55779865869448,19.4025,31.25,20,50,1024,1024,0.001,0.05,3,0,803.2,2026-07-26T05:02:43.534892+00:00,2026-07-26T05:16:06.774925+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps31.25_seed2.json,
scalex,scale_ps37.5,2,ok,9.999999403953552,2.2973737716674805,0.02942882649973035,2.298064708709717,99.97237850772069,64.1580455,85.995,61.53855361030559,85.27499999999999,37.5,20,50,1024,1024,0.001,0.05,3,0,823.6,2026-07-26T05:16:06.872142+00:00,2026-07-26T05:29:50.462442+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps37.5_seed2.json,
boot,boot_bf0.01,2,ok,95.3499972820282,0.14320631325244904,0.006951857890188694,0.13191163539886475,0.708335942615213,91.5026195,32.625,94.7679702029172,19.014999999999997,25,20,50,1024,1024,0.001,0.01,3,0,808.9,2026-07-26T05:29:50.562325+00:00,2026-07-26T05:43:19.474823+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.01_seed2.json,
boot,boot_bf0.03,2,ok,95.4099953174591,0.14172101020812988,0.0054034036546945574,0.13205094635486603,0.7527483915331277,91.51479875,33.18,94.740463502859,19.327499999999997,25,20,50,1024,1024,0.001,0.03,3,0,822.2,2026-07-26T05:43:19.572378+00:00,2026-07-26T05:57:01.744392+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.03_seed2.json,
boot,boot_bf0.07,2,ok,95.21999955177307,0.16041995584964752,0.013424907344579696,0.15850171446800232,0.5702750634333068,90.89559125,38.305,94.19029195439275,20.47,25,20,50,1024,1024,0.001,0.07,3,0,817.7,2026-07-26T05:57:01.846515+00:00,2026-07-26T06:10:39.555852+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.07_seed2.json,
boot,boot_bf0.1,2,ok,64.64999914169312,0.7793347239494324,0.025486976847052575,0.7842844724655151,0.47423192765671185,63.6837655,95.07,62.606235996160756,94.45,25,20,50,1024,1024,0.001,0.1,3,0,827.1,2026-07-26T06:10:39.654829+00:00,2026-07-26T06:24:26.797905+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_boot_bf0.1_seed2.json,
