factor,cell_key,seed,status,id_acc,id_nll,id_ece,val_nll,posthoc_temperature,near_auroc,near_fpr95,far_auroc,far_fpr95,ps,K,M,subset_size,chunk_size,lambda_reg,bootstrap_frac,stage_idx,block_idx,runtime_sec,start_utc,end_utc,output_path,note
calib,calib_ss1024,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
ridge,ridge_lam0.001,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
block,block_s3b0,2,ok,95.35999894142151,0.14170631766319275,0.006090163460373879,0.13221441209316254,0.7611595420825467,91.51964725,32.605000000000004,94.45936010869383,19.6375,25,20,50,1024,1024,0.001,0.05,3,0,,,,results/cifar10/openood_v1p5_pnc_single_block_vcal_s3b0_k20_n50_ps25.0_lr0.001_bf0.05_e300_optsgd_lr1e-01_wd5e-04_bs128_wu5_mom0p9_n1_augfcco8_ls0_subsetsize1024_chunksize1024_seed2_random.json,from_cache(anchor)
scale,scale_ps6.25,0,ok,95.87000012397766,0.1365153044462204,0.00865363918542862,0.1310201734304428,1.2692467495257962,88.60611625,58.87,93.6541722892926,28.015,6.25,20,50,1024,1024,0.001,0.05,3,0,840.2,2026-07-23T19:49:56.948357+00:00,2026-07-23T20:03:57.144775+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps6.25_seed0.json,
scale,scale_ps12.5,0,ok,95.8299994468689,0.1336221694946289,0.00860066341161728,0.12799806892871857,1.160809359962823,89.81625224999999,46.12,94.39527069826008,23.0225,12.5,20,50,1024,1024,0.001,0.05,3,0,830.1,2026-07-23T20:03:57.228882+00:00,2026-07-23T20:17:47.312106+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps12.5_seed0.json,
scale,scale_ps25.0,0,ok,95.84999680519104,0.13424764573574066,0.0049371077239513395,0.12496984750032425,0.760774774266971,91.41330225,33.989999999999995,95.69124649006243,17.1625,25,20,50,1024,1024,0.001,0.05,3,0,824.3,2026-07-23T20:17:47.398628+00:00,2026-07-23T20:31:31.659868+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps25.0_seed0.json,
scale,scale_ps50.0,0,ok,51.39999985694885,1.17759108543396,0.11592101131081581,1.1686506271362305,0.39360401992003463,62.525383,87.325,77.98852419344985,63.6825,50,20,50,1024,1024,0.001,0.05,3,0,819.6,2026-07-23T20:31:31.748155+00:00,2026-07-23T20:45:11.323884+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps50.0_seed0.json,
scale,scale_ps100.0,0,ok,9.999999403953552,2.9973771572113037,0.483488430455327,3.0089781284332275,99.99993582370774,62.01116,87.24,77.52510941217193,63.925,100,20,50,1024,1024,0.001,0.05,3,0,829.8,2026-07-23T20:45:11.412687+00:00,2026-07-23T20:59:01.162967+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_scale_ps100.0_seed0.json,
rank,rank_k1,0,ok,95.53999900817871,0.14267154037952423,0.00715621819794178,0.13560733199119568,0.8472944968912632,90.7288635,37.63999999999999,95.6483906319282,17.96,25,1,50,1024,1024,0.001,0.05,3,0,814.0,2026-07-23T20:59:01.252858+00:00,2026-07-23T21:12:35.283965+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k1_seed0.json,
rank,rank_k2,0,ok,95.65999507904053,0.13939329981803894,0.005976848410069942,0.12857864797115326,0.8001428276315817,91.11268849999999,35.27,95.7296726960849,17.3275,25,2,50,1024,1024,0.001,0.05,3,0,824.7,2026-07-23T21:12:35.375857+00:00,2026-07-23T21:26:20.029619+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k2_seed0.json,
rank,rank_k5,0,ok,95.75999975204468,0.13533176481723785,0.00529928926229477,0.12735216319561005,0.783866484921767,91.21677,34.81999999999999,95.64040630995349,17.525000000000002,25,5,50,1024,1024,0.001,0.05,3,0,821.7,2026-07-23T21:26:20.122141+00:00,2026-07-23T21:40:01.818766+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k5_seed0.json,
rank,rank_k40,0,ok,95.75999975204468,0.13368180394172668,0.006096578681468964,0.12428687512874603,0.755416416069805,91.35387100000001,33.81,95.6813773466443,17.049999999999997,25,40,50,1024,1024,0.001,0.05,3,0,825.1,2026-07-23T21:40:01.909179+00:00,2026-07-23T21:53:46.995912+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_rank_k40_seed0.json,
calib,calib_ss256,0,ok,95.84999680519104,0.1365213394165039,0.006506200177967548,0.12553571164608002,0.7184199658350623,91.45320025,33.300000000000004,95.76065555261992,17.0,25,20,50,256,1024,0.001,0.05,3,0,836.6,2026-07-23T21:53:47.082359+00:00,2026-07-23T22:07:43.681843+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss256_seed0.json,
calib,calib_ss512,0,ok,95.81999778747559,0.13510847091674805,0.005597229850292206,0.12465742230415344,0.7406693438110158,91.40372275,33.375,95.66974878640364,17.109999999999996,25,20,50,512,1024,0.001,0.05,3,0,824.5,2026-07-23T22:07:43.777462+00:00,2026-07-23T22:21:28.273320+00:00,/home/elean/pnc/results/neurips_2026_rebuttal/cifar/sweeps/sweep_calib_ss512_seed0.json,
