cell_key,n_seeds,seeds,factor,ps,K,subset_size,lambda_reg,stage_idx,block_idx,id_acc_mean,id_acc_std,id_nll_mean,id_nll_std,id_ece_mean,id_ece_std,val_nll_mean,val_nll_std,posthoc_temperature_mean,posthoc_temperature_std,near_auroc_mean,near_auroc_std,near_fpr95_mean,near_fpr95_std,far_auroc_mean,far_auroc_std,far_fpr95_mean,far_fpr95_std
block_s1b0,3,"0,1,2",block,25.0,20,1024,0.001,1,0,95.2733318010966,0.17616203548078338,0.15030078589916226,0.003505229116214004,0.006680116340517933,0.0011542234329317762,0.1472718516985575,0.006224362450002936,1.2110957939508615,0.026532797507383337,89.39069124999999,0.16690756559113484,45.61166666666666,1.787710360582308,92.01190545570883,1.2155189399735948,28.42,2.3339197179851756
block_s2b1,3,"0,1,2",block,25.0,20,1024,0.001,2,1,94.76333061854045,0.19218237993824272,0.1585545241832733,0.0035583373805896396,0.004805691852668867,0.0008723193246925843,0.15147039294242856,0.00662177426344654,1.1183630477699735,0.03424237224884565,89.34135524999999,0.08519153596418264,39.306666666666665,0.42380223375217446,92.80891589337,1.018872906565059,25.19333333333334,2.0242936010700983
block_s3b0,3,"0,1,2",block,25.0,20,1024,0.001,3,0,95.59333125750224,0.24583084915776882,0.13843568662802372,0.003813186942171195,0.005024764280517867,0.0010249261422471427,0.1304187004764875,0.004806067524586967,0.7561953443951285,0.00823411196548577,91.55441308333333,0.1613271495380902,33.083333333333336,0.7728895997057613,95.09296193941425,0.616655552668609,18.148333333333337,1.3120268988604353
calib_ss256,3,"0,1,2",calib,25.0,20,256,0.001,3,0,95.59332927068074,0.255016936008945,0.1407827834288279,0.003761881587203092,0.005079492476085766,0.0012435697226830526,0.13066683212916053,0.004773081661217599,0.7167266462615552,0.0075635435877247385,91.59396058333334,0.14748759276997978,32.97833333333333,0.5528185356274976,95.31424091936238,0.5169938256645975,17.625833333333336,1.2117196801790975
calib_ss512,3,"0,1,2",calib,25.0,20,512,0.001,3,0,95.5899973710378,0.24062535095710552,0.1396468083063761,0.004059636325063257,0.005288970325390466,0.001455241365512275,0.12998122473557785,0.004630115790841587,0.7361112102506001,0.006863214789519096,91.58960166666668,0.19502406386365567,32.72666666666667,0.5616122624492217,95.160955541349,0.5699684563741367,17.8025,1.378538628403283
calib_ss1024,3,"0,1,2",calib,25.0,20,1024,0.001,3,0,95.59333125750224,0.24583084915776882,0.13843568662802372,0.003813186942171195,0.005024764280517867,0.0010249261422471427,0.1304187004764875,0.004806067524586967,0.7561953443951285,0.00823411196548577,91.55441308333333,0.1613271495380902,33.083333333333336,0.7728895997057613,95.09296193941425,0.616655552668609,18.148333333333337,1.3120268988604353
calib_ss2048,3,"0,1,2",calib,25.0,20,2048,0.001,3,0,57.12666610876719,27.70280147376803,0.7977462212244669,0.3305974165375178,0.18241164519488806,0.0579508756349341,0.8014734586079916,0.33249587206148407,0.43476162464176477,0.06840415896560746,63.078386583333334,14.237026753107902,88.41666666666667,13.293552321833817,66.31741543444639,12.018150277796305,84.175,17.441640368669454
calib_ss4096,3,"0,1,2",calib,25.0,20,4096,0.001,3,0,94.14666295051575,0.8095893956310556,0.23281797766685483,0.046470535972607925,0.053475841798384965,0.028095317633133863,0.23565217852592468,0.05400094022994801,0.38928968676840087,0.027870221035658352,90.05664641666665,0.6683577271214064,39.535,2.0525045675954066,94.1567692617898,0.5771901184413419,19.120833333333334,1.0223879319188653
rank_k1,3,"0,1,2",rank,25.0,1,1024,0.001,3,0,95.36999861399333,0.15132775633129186,0.14945113658905027,0.006130122054372587,0.0062443638602892,0.0014078495043566381,0.14364454150199882,0.008055780530693692,0.863106216157885,0.018606040778591026,90.86078983333334,0.14520021123377697,36.13,1.3474791278531866,94.6735157313663,1.0085022702885473,19.81833333333333,2.410824979821914
rank_k2,3,"0,1,2",rank,25.0,2,1024,0.001,3,0,95.46332955360413,0.2055056875026686,0.14345170060793558,0.003877721423181153,0.005640052973727334,0.0018007322806921318,0.13588496545950568,0.007817037838553692,0.8122635523212325,0.018966806033017175,91.22260491666667,0.16379826224778352,34.11166666666667,1.0683437336987278,94.88244717480615,0.8421888498930392,18.9525,1.9466622074720608
rank_k5,3,"0,1,2",rank,25.0,5,1024,0.001,3,0,95.58666547139485,0.18036995910041478,0.13970891634623203,0.003873752540267225,0.004878647725284066,0.0004811646321025808,0.13286348680655155,0.005004804385344015,0.7823056182517495,0.0023050208002510495,91.40315783333334,0.2086836975223109,33.485,1.1696901299062037,95.14856981250007,0.5190524794535762,18.16333333333333,1.26022154137014
rank_k20,3,"0,1,2",rank,25.0,20,1024,0.001,3,0,95.59333125750224,0.24583084915776882,0.13843568662802372,0.003813186942171195,0.005024764280517867,0.0010249261422471427,0.1304187004764875,0.004806067524586967,0.7561953443951285,0.00823411196548577,91.55441308333333,0.1613271495380902,33.083333333333336,0.7728895997057613,95.09296193941425,0.616655552668609,18.148333333333337,1.3120268988604353
rank_k40,3,"0,1,2",rank,25.0,40,1024,0.001,3,0,95.59666514396667,0.20984114035411897,0.13818476100762678,0.004145771708188463,0.006013353034853866,0.0004078868677674958,0.12962924440701795,0.00477219963377976,0.7519385346133355,0.016090004010147874,91.54930841666665,0.19189625867742363,32.92333333333334,0.7934943814125811,95.11859160311313,0.5349021414577394,17.94583333333333,1.2646697526759045
