example_id,env_name,regime,seed,sensitivity_sketch,finite_disagreement,distance_to_calibration,probe_eps,n_probes,pnc_perturbation_scale,target_layer,bootstrap_frac,correction_lambda,calibration_size
33,Ant-v5,id,0,1612.268310546875,218.84361832669018,17.379444122314453,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
34,Ant-v5,id,0,772.4094848632812,79.90604435793986,9.59961986541748,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
35,Ant-v5,id,0,1780.99267578125,188.89883264068675,12.886651039123535,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
36,Ant-v5,id,0,954.4996948242188,104.608370873562,9.501310348510742,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
37,Ant-v5,id,0,2373.92431640625,262.5897421952192,21.408029556274414,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
38,Ant-v5,id,0,1273.4078369140625,135.9751686938677,12.523265838623047,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
39,Ant-v5,id,0,3872.00341796875,414.1000688110911,16.825239181518555,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
40,Ant-v5,id,0,1967.132080078125,181.2550575381532,7.958098411560059,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
41,Ant-v5,id,0,3401.3935546875,324.88827855532065,10.254220008850098,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
42,Ant-v5,id,0,1094.0675048828125,116.92611933711842,11.589337348937988,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
43,Ant-v5,id,0,915.14404296875,99.68081209872702,9.935188293457031,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
44,Ant-v5,id,0,5322.55322265625,570.5644397107345,14.018733978271484,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
45,Ant-v5,id,0,4737.36279296875,456.828214485285,23.37237548828125,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
46,Ant-v5,id,0,3618.349365234375,369.238019366108,10.283041000366211,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
47,Ant-v5,id,0,1839.816650390625,177.23421376984402,13.484128952026367,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
48,Ant-v5,id,0,1258.670654296875,151.96937338548852,18.112760543823242,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
49,Ant-v5,id,0,853.0387573242188,86.95857825533884,9.718269348144531,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
50,Ant-v5,id,0,1209.27880859375,129.01855380535952,10.583030700683594,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
51,Ant-v5,id,0,7296.53857421875,741.3589487313656,14.294896125793457,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
52,Ant-v5,id,0,1378.439208984375,135.70920011862535,8.632841110229492,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
53,Ant-v5,id,0,1163.5792236328125,119.31999405845357,14.015390396118164,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
54,Ant-v5,id,0,958.6099243164062,98.15276901685687,8.203801155090332,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
55,Ant-v5,id,0,5457.611328125,569.132418686935,8.841448783874512,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
56,Ant-v5,id,0,4962.486328125,554.8850722277939,16.485820770263672,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
57,Ant-v5,id,0,1174.3646240234375,173.10439371578363,21.3555850982666,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
58,Ant-v5,id,0,3177.07861328125,306.90641390532767,13.494126319885254,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
59,Ant-v5,id,0,2078.8876953125,213.66062168147363,14.579985618591309,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
60,Ant-v5,id,0,2335.781005859375,235.6768664980688,13.721842765808105,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
61,Ant-v5,id,0,1467.963623046875,144.4634614499719,11.603468894958496,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
62,Ant-v5,id,0,1136.6080322265625,116.39087166911386,12.560739517211914,0.32,16,32.0,"even-indexed (l1, l3, …); LS on next layer",0.3,0.1,1024
