id_accuracy,id_brier,id_ece,id_nll,method,n,ood_aupr_in,ood_aupr_out,ood_auroc,ood_fpr95,seed,selected_scale,split,temperature
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_msp,1003,,,,,0,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_energy,1003,,,,,0,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_entropy,1003,,,,,0,4.0,id_val,0.8
0.9830508474576272,0.025712938979268074,0.009902073462249542,0.06907414644956589,ffn_pnc,1003,,,,,0,4.0,id_val,0.8
0.9850448654037887,0.28933677077293396,0.5025137904827165,0.7696496844291687,uncorrected,1003,,,,,0,4.0,id_val,0.8
0.9850448654037887,0.025360727682709694,0.009056007368852257,0.0687146857380867,head_pnc,1003,,,,,0,4.0,id_val,0.8
0.9850448654037887,0.025363657623529434,0.0131664733706063,0.07058350741863251,mc_dropout,1003,,,,,0,4.0,id_val,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_msp,3080,,,,,0,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_energy,3080,,,,,0,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_entropy,3080,,,,,0,4.0,id_eval,0.8
0.9253246753246753,0.11788471043109894,0.030220642206924254,0.30140581727027893,ffn_pnc,3080,,,,,0,4.0,id_eval,0.8
0.922077922077922,0.3572708070278168,0.4738765131174163,0.9530596137046814,uncorrected,3080,,,,,0,4.0,id_eval,0.8
0.9253246753246753,0.1182246282696724,0.03206056314822916,0.30370253324508667,head_pnc,3080,,,,,0,4.0,id_eval,0.8
0.9253246753246753,0.11305166780948639,0.014068967778864573,0.2831156253814697,mc_dropout,3080,,,,,0,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,0,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109669,0.425,0,4.0,near,0.8
,,,,base_entropy,900,0.9593429219344239,0.8095399190614077,0.9027031024531025,0.49772727272727274,0,4.0,near,0.8
,,,,ffn_pnc,900,0.9612253750425503,0.8173932993857332,0.9065782828282828,0.47435064935064936,0,4.0,near,0.8
,,,,uncorrected,900,0.944307159550481,0.811338583875184,0.8846673881673881,0.7055194805194805,0,4.0,near,0.8
,,,,head_pnc,900,0.9594903718810495,0.8081030148568802,0.9020506854256853,0.4954545454545455,0,4.0,near,0.8
,,,,mc_dropout,900,0.9673558643411655,0.8325003481808454,0.9175468975468976,0.43084415584415586,0,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.19415584415584416,0,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353535,0.08181818181818182,0,4.0,cross,0.8
,,,,base_entropy,3600,0.9468149376913325,0.9741230068219215,0.9644311868686868,0.17337662337662338,0,4.0,cross,0.8
,,,,ffn_pnc,3600,0.9507408982623459,0.9764587428665982,0.967375450937951,0.16461038961038962,0,4.0,cross,0.8
,,,,uncorrected,3600,0.9426718541681556,0.9810204831894973,0.9710871212121212,0.10227272727272728,0,4.0,cross,0.8
,,,,head_pnc,3600,0.9468413007492473,0.9742169931994291,0.9644724025974026,0.17597402597402598,0,4.0,cross,0.8
,,,,mc_dropout,3600,0.956405623825311,0.9776386032876094,0.9695992965367966,0.15681818181818183,0,4.0,cross,0.8
,,,,base_msp,1000,0.9888132301047301,0.9216617905109117,0.9682702922077923,0.13993506493506494,0,4.0,far,0.8
,,,,base_energy,1000,0.995979501406354,0.9744283278118827,0.9896944805194804,0.04350649350649351,0,4.0,far,0.8
,,,,base_entropy,1000,0.9919932691786071,0.9516616165331404,0.978413961038961,0.11688311688311688,0,4.0,far,0.8
,,,,ffn_pnc,1000,0.992916286340012,0.957273915520892,0.9809707792207794,0.10714285714285714,0,4.0,far,0.8
,,,,uncorrected,1000,0.9955715079251652,0.9748086067855276,0.9890081168831169,0.03441558441558441,0,4.0,far,0.8
,,,,head_pnc,1000,0.9919095125209288,0.9515930992107701,0.9782428571428571,0.11688311688311688,0,4.0,far,0.8
,,,,mc_dropout,1000,0.9930637626885725,0.9589154977589163,0.9818896103896104,0.09805194805194806,0,4.0,far,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_msp,1003,,,,,10,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_energy,1003,,,,,10,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_entropy,1003,,,,,10,4.0,id_val,0.8
0.9830508474576272,0.025618521496653557,0.010115164197453976,0.06876400113105774,ffn_pnc,1003,,,,,10,4.0,id_val,0.8
0.9850448654037887,0.37527793645858765,0.5795554781141334,0.9483805894851685,uncorrected,1003,,,,,10,4.0,id_val,0.8
0.9840478564307079,0.025438182055950165,0.00842201623579087,0.06854372471570969,head_pnc,1003,,,,,10,4.0,id_val,0.8
0.9860418743768694,0.02509338967502117,0.014727283956284348,0.06829682737588882,mc_dropout,1003,,,,,10,4.0,id_val,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_msp,3080,,,,,10,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_energy,3080,,,,,10,4.0,id_eval,0.8
0.925,0.11813477426767349,0.03165977324855015,0.30341672897338867,base_entropy,3080,,,,,10,4.0,id_eval,0.8
0.9253246753246753,0.11785821616649628,0.031834212850247096,0.30101755261421204,ffn_pnc,3080,,,,,10,4.0,id_eval,0.8
0.9201298701298701,0.4360087513923645,0.5443051977276608,1.1272194385528564,uncorrected,3080,,,,,10,4.0,id_eval,0.8
0.925,0.11821092665195465,0.03220437552247729,0.3034578561782837,head_pnc,3080,,,,,10,4.0,id_eval,0.8
0.9246753246753247,0.11407322436571121,0.012660179183177385,0.28416624665260315,mc_dropout,3080,,,,,10,4.0,id_eval,0.8
,,,,base_msp,900,0.9553584851084445,0.7694759645159813,0.8918210678210678,0.5110389610389611,10,4.0,near,0.8
,,,,base_energy,900,0.9725395378369746,0.857345221917887,0.9293109668109669,0.425,10,4.0,near,0.8
,,,,base_entropy,900,0.9593429219344239,0.8095399190614077,0.9027031024531025,0.49772727272727274,10,4.0,near,0.8
,,,,ffn_pnc,900,0.9613570206452275,0.8175989264344932,0.9067723665223665,0.4724025974025974,10,4.0,near,0.8
,,,,uncorrected,900,0.9519434075434154,0.8101506925717038,0.8905174963924964,0.6753246753246753,10,4.0,near,0.8
,,,,head_pnc,900,0.9595091558107054,0.8079157426375521,0.9020752164502166,0.4954545454545455,10,4.0,near,0.8
,,,,mc_dropout,900,0.967233600721467,0.8325768554117078,0.9168955627705627,0.44123376623376626,10,4.0,near,0.8
,,,,base_msp,3600,0.9357819604840688,0.962977053575264,0.9535660173160174,0.19415584415584416,10,4.0,cross,0.8
,,,,base_energy,3600,0.9733001593254738,0.9850106377413174,0.9800978535353535,0.08181818181818182,10,4.0,cross,0.8
,,,,base_entropy,3600,0.9468149376913325,0.9741230068219215,0.9644311868686868,0.17337662337662338,10,4.0,cross,0.8
,,,,ffn_pnc,3600,0.9507457179366242,0.9764313544295733,0.9673564213564214,0.16363636363636364,10,4.0,cross,0.8
,,,,uncorrected,3600,0.9538879084514599,0.9813363756914943,0.9728125450937951,0.07987012987012987,10,4.0,cross,0.8
,,,,head_pnc,3600,0.9466757832049816,0.974208509016944,0.9644317279942279,0.17564935064935064,10,4.0,cross,0.8
,,,,mc_dropout,3600,0.9556125588611644,0.9777141243620107,0.9694246933621934,0.1551948051948052,10,4.0,cross,0.8
,,,,base_msp,1000,0.9888132301047301,0.9216617905109117,0.9682702922077923,0.13993506493506494,10,4.0,far,0.8
,,,,base_energy,1000,0.995979501406354,0.9744283278118827,0.9896944805194804,0.04350649350649351,10,4.0,far,0.8
,,,,base_entropy,1000,0.9919932691786071,0.9516616165331404,0.978413961038961,0.11688311688311688,10,4.0,far,0.8
,,,,ffn_pnc,1000,0.9929143535189136,0.9572037951228355,0.9809551948051948,0.10357142857142858,10,4.0,far,0.8
,,,,uncorrected,1000,0.9954072314260278,0.9728993723638966,0.9882827922077922,0.03149350649350649,10,4.0,far,0.8
,,,,head_pnc,1000,0.9919422482339033,0.9517054460535418,0.9782987012987013,0.11655844155844156,10,4.0,far,0.8
,,,,mc_dropout,1000,0.9931176216898838,0.9585358566140699,0.9814996753246753,0.11136363636363636,10,4.0,far,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_msp,1003,,,,,42,4.0,id_val,0.8
0.9830508474576272,0.02540707401931286,0.008741226830962678,0.06862298399209976,base_energy,1003,,,,,42,4.0,id_val,0.8
