method,split,metric,mean,se,n
mc_dropout,id_eval,id_nll,0.2833,0.0004,5
mc_dropout,id_val,id_accuracy,0.9846,0.0004,5
mc_dropout,id_val,id_brier,0.0253,0.0001,5
mc_dropout,id_val,id_ece,0.0126,0.0008,5
mc_dropout,id_val,id_nll,0.0696,0.0004,5
mc_dropout,near,ood_aupr_in,0.9672,0.0001,5
mc_dropout,near,ood_aupr_out,0.8320,0.0003,5
mc_dropout,near,ood_auroc,0.9170,0.0002,5
mc_dropout,near,ood_fpr95,0.4384,0.0025,5
uncorrected,cross,ood_aupr_in,0.9498,0.0020,5
uncorrected,cross,ood_aupr_out,0.9812,0.0002,5
uncorrected,cross,ood_auroc,0.9721,0.0003,5
uncorrected,cross,ood_fpr95,0.0916,0.0047,5
uncorrected,far,ood_aupr_in,0.9956,0.0001,5
uncorrected,far,ood_aupr_out,0.9738,0.0003,5
uncorrected,far,ood_auroc,0.9887,0.0001,5
uncorrected,far,ood_fpr95,0.0334,0.0009,5
uncorrected,id_eval,id_accuracy,0.9206,0.0006,5
uncorrected,id_eval,id_brier,0.4142,0.0185,5
uncorrected,id_eval,id_ece,0.5247,0.0163,5
uncorrected,id_eval,id_nll,1.0794,0.0414,5
uncorrected,id_val,id_accuracy,0.9848,0.0004,5
uncorrected,id_val,id_brier,0.3515,0.0203,5
uncorrected,id_val,id_ece,0.5578,0.0178,5
uncorrected,id_val,id_nll,0.8994,0.0426,5
uncorrected,near,ood_aupr_in,0.9463,0.0019,5
uncorrected,near,ood_aupr_out,0.8087,0.0022,5
uncorrected,near,ood_auroc,0.8852,0.0021,5
uncorrected,near,ood_fpr95,0.6931,0.0113,5
