method,split,n_seeds,id_accuracy_mean,id_accuracy_std,id_nll_mean,id_nll_std,id_ece_mean,id_ece_std,ood_auroc_mean,ood_auroc_std,ood_fpr95_mean,temperature,selected_scale
base_energy,cross,5,,,,,,,0.9800978535353536,0.0,0.0818181818181818,0.8,4.0
base_energy,far,5,,,,,,,0.9896944805194805,0.0,0.0435064935064935,0.8,4.0
base_energy,id_eval,5,0.925,0.0,0.3034167289733886,0.0,0.0316597732485501,0.0,,,,0.8,4.0
base_energy,id_val,5,0.9830508474576272,0.0,0.0686229839920997,0.0,0.0087412268309626,0.0,,,,0.8,4.0
base_energy,near,5,,,,,,,0.9293109668109668,0.0,0.425,0.8,4.0
base_entropy,cross,5,,,,,,,0.9644311868686868,0.0,0.1733766233766233,0.8,4.0
base_entropy,far,5,,,,,,,0.978413961038961,0.0,0.11688311688311678,0.8,4.0
base_entropy,id_eval,5,0.925,0.0,0.3034167289733886,0.0,0.0316597732485501,0.0,,,,0.8,4.0
base_entropy,id_val,5,0.9830508474576272,0.0,0.0686229839920997,0.0,0.0087412268309626,0.0,,,,0.8,4.0
base_entropy,near,5,,,,,,,0.9027031024531024,0.0,0.4977272727272727,0.8,4.0
base_msp,cross,5,,,,,,,0.9535660173160174,0.0,0.1941558441558441,0.8,4.0
base_msp,far,5,,,,,,,0.9682702922077924,0.0,0.1399350649350649,0.8,4.0
base_msp,id_eval,5,0.925,0.0,0.3034167289733886,0.0,0.0316597732485501,0.0,,,,0.8,4.0
base_msp,id_val,5,0.9830508474576272,0.0,0.0686229839920997,0.0,0.0087412268309626,0.0,,,,0.8,4.0
base_msp,near,5,,,,,,,0.8918210678210678,0.0,0.5110389610389611,0.8,4.0
ffn_pnc,cross,5,,,,,,,0.9674588203463204,8.768362009240572e-05,0.16376623376623373,0.8,4.0
ffn_pnc,far,5,,,,,,,0.9810231168831169,7.557106757216176e-05,0.10571428571428565,0.8,4.0
ffn_pnc,id_eval,5,0.9254545454545454,0.00017783199919004858,0.3012520134449005,0.00015314116041884607,0.030873801876585123,0.0007690590986537826,,,,0.8,4.0
ffn_pnc,id_val,5,0.9836490528414756,0.0005460843045914655,0.06892841607332226,0.00014279615162170908,0.0094123267640145,0.0008727062782139473,,,,0.8,4.0
ffn_pnc,near,5,,,,,,,0.9067304473304473,9.78113916336231e-05,0.4737662337662337,0.8,4.0
head_pnc,cross,5,,,,,,,0.964403823953824,5.491134215863787e-05,0.1749350649350649,0.8,4.0
head_pnc,far,5,,,,,,,0.9782466233766234,7.475807103830529e-05,0.11818181818181812,0.8,4.0
head_pnc,id_eval,5,0.9252597402597402,0.0002716428657577643,0.3035190939903259,0.000157815025326456,0.03164648624596652,0.0005183146508227416,,,,0.8,4.0
head_pnc,id_val,5,0.9842472582253242,0.00044587596759719023,0.06859532892704005,8.897919011851901e-05,0.00849152951392668,0.00032404879961784607,,,,0.8,4.0
head_pnc,near,5,,,,,,,0.9021392135642137,0.00022655461574097713,0.496038961038961,0.8,4.0
mc_dropout,cross,5,,,,,,,0.9694599025974027,0.00013909377690796834,0.15779220779220776,0.8,4.0
mc_dropout,far,5,,,,,,,0.981794090909091,0.0002847157692085074,0.10396103896103889,0.8,4.0
mc_dropout,id_eval,5,0.9249350649350649,0.000580796877272643,0.28332810401916503,0.0009977973853053685,0.013137940343033899,0.0005622955349153709,,,,0.8,4.0
mc_dropout,id_val,5,0.9846460618145564,0.0008917519351942975,0.06957412958145139,0.0008921486963374502,0.01259244256991808,0.0018083479818934867,,,,0.8,4.0
mc_dropout,near,5,,,,,,,0.9170418109668109,0.00035993790185476774,0.43837662337662336,0.8,4.0
uncorrected,cross,5,,,,,,,0.9720503878066378,0.000661986772024321,0.09162337662337657,0.8,4.0
uncorrected,far,5,,,,,,,0.9887270129870129,0.00032945446891879346,0.033376623376623324,0.8,4.0
uncorrected,id_eval,5,0.9205844155844154,0.0012490509130955287,1.079392921924591,0.09248891045177782,0.5246780006582668,0.03655302415181684,,,,0.8,4.0
uncorrected,id_val,5,0.9848454636091726,0.0008341575538724052,0.8993535876274109,0.09522955550199287,0.557759816901515,0.03971544681061611,,,,0.8,4.0
uncorrected,near,5,,,,,,,0.8851813131313131,0.0046801424751058505,0.693051948051948,0.8,4.0
